RTO_iter	Fa	Fb	Tr
0	3.600000e+00	1.000000e+01	8.500000e+01
1	3.633776e+00	9.968669e+00	8.588761e+01
2	3.702690e+00	9.904022e+00	8.765035e+01
3	3.840296e+00	9.762388e+00	9.112894e+01
4	4.500000e+00	9.480701e+00	9.015588e+01
5	4.183725e+00	9.558198e+00	9.093815e+01
6	3.807533e+00	9.573915e+00	9.228847e+01
7	4.183911e+00	9.561188e+00	9.094018e+01
8	3.987375e+00	9.548357e+00	9.145152e+01
9	3.801405e+00	9.497539e+00	9.198386e+01
10	3.985397e+00	9.474165e+00	9.123542e+01
11	3.890172e+00	9.478399e+00	9.156492e+01
12	3.983197e+00	9.470511e+00	9.120644e+01
13	3.889030e+00	9.470467e+00	9.154313e+01
14	3.982338e+00	9.463869e+00	9.118941e+01
15	3.933832e+00	9.460580e+00	9.134412e+01
16	3.887386e+00	9.447108e+00	9.147151e+01
17	3.932933e+00	9.438986e+00	9.128164e+01
18	3.909295e+00	9.440549e+00	9.137002e+01
19	3.931715e+00	9.435169e+00	9.127287e+01
20	3.918874e+00	9.434486e+00	9.131642e+01
21	3.907185e+00	9.431326e+00	9.134903e+01
22	3.916808e+00	9.425299e+00	9.129581e+01
23	3.911165e+00	9.427216e+00	9.132195e+01
24	3.906179e+00	9.423368e+00	9.132823e+01
25	3.907959e+00	9.417771e+00	9.130464e+01
26	3.902533e+00	9.414675e+00	9.131485e+01
27	3.905902e+00	9.410017e+00	9.128836e+01
28	3.904006e+00	9.412065e+00	9.130149e+01
29	3.902013e+00	9.409460e+00	9.130073e+01
30	3.901328e+00	9.406331e+00	9.129363e+01
31	3.897270e+00	9.401472e+00	9.129348e+01
32	3.902074e+00	9.398357e+00	9.126650e+01
33	3.899346e+00	9.399354e+00	9.127944e+01
34	3.898355e+00	9.400191e+00	9.128560e+01
35	3.898264e+00	9.398410e+00	9.128046e+01
36	3.896374e+00	9.395732e+00	9.127911e+01
37	3.896661e+00	9.392638e+00	9.126857e+01
38	3.893987e+00	9.390780e+00	9.127259e+01
39	3.896087e+00	9.388687e+00	9.125853e+01
40	3.894998e+00	9.389435e+00	9.126478e+01
41	3.893705e+00	9.388107e+00	9.126541e+01
42	3.893642e+00	9.386328e+00	9.126017e+01
43	3.892391e+00	9.384959e+00	9.126052e+01
44	3.892721e+00	9.383251e+00	9.125407e+01
45	3.891186e+00	9.382239e+00	9.125655e+01
46	3.892196e+00	9.380893e+00	9.124873e+01
47	3.891798e+00	9.381259e+00	9.125130e+01
48	3.890791e+00	9.380499e+00	9.125264e+01
49	3.890957e+00	9.379315e+00	9.124839e+01
50	3.889950e+00	9.378555e+00	9.124972e+01
51	3.890533e+00	9.377555e+00	9.124452e+01
52	3.890417e+00	9.377692e+00	9.124537e+01
53	3.889497e+00	9.377168e+00	9.124711e+01
54	3.889891e+00	9.376263e+00	9.124289e+01
55	3.888935e+00	9.375824e+00	9.124502e+01
56	3.889578e+00	9.375095e+00	9.124044e+01
57	3.888581e+00	9.374802e+00	9.124317e+01
58	3.889284e+00	9.374135e+00	9.123855e+01
59	3.888275e+00	9.373930e+00	9.124160e+01
60	3.889056e+00	9.373356e+00	9.123699e+01
61	3.888042e+00	9.373222e+00	9.124027e+01
62	3.888883e+00	9.372735e+00	9.123571e+01
63	3.888818e+00	9.372723e+00	9.123591e+01
64	3.887856e+00	9.372633e+00	9.123914e+01
65	3.888684e+00	9.372222e+00	9.123486e+01
66	3.888666e+00	9.372216e+00	9.123490e+01
67	3.887718e+00	9.372164e+00	9.123820e+01
68	3.887297e+00	9.371261e+00	9.123695e+01
69	3.888228e+00	9.371109e+00	9.123309e+01
70	3.888213e+00	9.371105e+00	9.123313e+01
71	3.888210e+00	9.371103e+00	9.123314e+01
72	3.888209e+00	9.371103e+00	9.123315e+01
73	3.888208e+00	9.371103e+00	9.123315e+01
74	3.888208e+00	9.371103e+00	9.123315e+01
75	3.888208e+00	9.371103e+00	9.123315e+01
76	3.888208e+00	9.371103e+00	9.123315e+01
77	3.888208e+00	9.371103e+00	9.123315e+01
78	3.888208e+00	9.371103e+00	9.123315e+01
79	3.888208e+00	9.371103e+00	9.123315e+01
80	3.888208e+00	9.371103e+00	9.123315e+01
