RTO_iter	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-7.752530e+01	-3.276256e-02	1.295174e-01	4.930493e-01	2.141127e-01	9.131054e-02	4.723744e-02
2	-1.493488e+02	-1.978184e-02	1.395009e-01	4.499642e-01	2.298909e-01	9.487272e-02	6.021816e-02
3	-1.940478e+02	-5.189795e-03	1.572020e-01	3.985159e-01	2.443299e-01	9.722821e-02	7.481020e-02
4	-2.028105e+02	-2.389952e-03	1.447296e-01	4.031936e-01	2.497389e-01	9.899942e-02	7.761005e-02
5	-2.064868e+02	-5.143258e-04	1.408068e-01	4.026456e-01	2.523843e-01	9.969692e-02	7.948567e-02
6	-2.073625e+02	-1.472414e-04	1.378738e-01	4.046216e-01	2.532119e-01	9.998835e-02	7.985276e-02
7	-2.076679e+02	-6.313034e-05	1.365545e-01	4.058175e-01	2.534233e-01	1.000660e-01	7.993687e-02
8	-2.078395e+02	-4.665430e-05	1.359294e-01	4.065506e-01	2.534312e-01	1.000645e-01	7.995335e-02
9	-2.079818e+02	-4.112050e-05	1.355993e-01	4.070424e-01	2.533743e-01	1.000342e-01	7.995888e-02
10	-2.081120e+02	-3.776353e-05	1.353847e-01	4.074306e-01	2.532971e-01	9.999445e-02	7.996224e-02
11	-2.082336e+02	-3.504029e-05	1.352163e-01	4.077723e-01	2.532145e-01	9.995224e-02	7.996496e-02
12	-2.083478e+02	-3.260715e-05	1.350679e-01	4.080901e-01	2.531318e-01	9.991009e-02	7.996739e-02
13	-2.084552e+02	-3.041144e-05	1.349303e-01	4.083924e-01	2.530507e-01	9.986880e-02	7.996959e-02
14	-2.085563e+02	-2.839176e-05	1.347994e-01	4.086827e-01	2.529718e-01	9.982869e-02	7.997161e-02
15	-2.086515e+02	-2.652655e-05	1.346737e-01	4.089628e-01	2.528953e-01	9.978983e-02	7.997347e-02
16	-2.087411e+02	-2.480022e-05	1.345524e-01	4.092335e-01	2.528212e-01	9.975222e-02	7.997520e-02
17	-2.088257e+02	-2.320016e-05	1.344351e-01	4.094953e-01	2.527495e-01	9.971583e-02	7.997680e-02
18	-2.089054e+02	-2.171542e-05	1.343216e-01	4.097488e-01	2.526801e-01	9.968061e-02	7.997828e-02
19	-2.089806e+02	-2.033634e-05	1.342117e-01	4.099943e-01	2.526128e-01	9.964652e-02	7.997966e-02
20	-2.090516e+02	-1.905422e-05	1.341053e-01	4.102320e-01	2.525477e-01	9.961351e-02	7.998095e-02
21	-2.091186e+02	-1.786121e-05	1.340022e-01	4.104624e-01	2.524845e-01	9.958155e-02	7.998214e-02
22	-2.091819e+02	-1.675022e-05	1.339022e-01	4.106856e-01	2.524233e-01	9.955058e-02	7.998325e-02
23	-2.092417e+02	-1.571480e-05	1.338053e-01	4.109020e-01	2.523640e-01	9.952058e-02	7.998429e-02
24	-2.092982e+02	-1.474908e-05	1.337114e-01	4.111118e-01	2.523065e-01	9.949149e-02	7.998525e-02
25	-2.093516e+02	-1.384772e-05	1.336202e-01	4.113153e-01	2.522507e-01	9.946330e-02	7.998615e-02
26	-2.094021e+02	-1.300585e-05	1.335318e-01	4.115127e-01	2.521966e-01	9.943596e-02	7.998699e-02
27	-2.094498e+02	-1.221903e-05	1.334461e-01	4.117042e-01	2.521441e-01	9.940945e-02	7.998778e-02
28	-2.094950e+02	-1.148318e-05	1.333629e-01	4.118900e-01	2.520931e-01	9.938373e-02	7.998852e-02
29	-2.095377e+02	-1.079459e-05	1.332821e-01	4.120704e-01	2.520437e-01	9.935877e-02	7.998921e-02
30	-2.095782e+02	-1.014982e-05	1.332037e-01	4.122454e-01	2.519957e-01	9.933455e-02	7.998985e-02
31	-2.096165e+02	-9.545757e-06	1.331275e-01	4.124154e-01	2.519490e-01	9.931103e-02	7.999045e-02
32	-2.096528e+02	-8.979514e-06	1.330536e-01	4.125805e-01	2.519038e-01	9.928821e-02	7.999102e-02
33	-2.096871e+02	-8.448444e-06	1.329817e-01	4.127408e-01	2.518598e-01	9.926604e-02	7.999155e-02
34	-2.097196e+02	-7.950108e-06	1.329120e-01	4.128966e-01	2.518171e-01	9.924451e-02	7.999205e-02
35	-2.097505e+02	-7.482259e-06	1.328442e-01	4.130479e-01	2.517755e-01	9.922360e-02	7.999252e-02
36	-2.097797e+02	-7.042824e-06	1.327783e-01	4.131949e-01	2.517352e-01	9.920329e-02	7.999296e-02
37	-2.098074e+02	-6.629888e-06	1.327143e-01	4.133378e-01	2.516960e-01	9.918355e-02	7.999337e-02
38	-2.098336e+02	-6.241685e-06	1.326521e-01	4.134766e-01	2.516579e-01	9.916436e-02	7.999376e-02
39	-2.098585e+02	-5.876574e-06	1.325916e-01	4.136117e-01	2.516208e-01	9.914572e-02	7.999412e-02
40	-2.098821e+02	-5.533044e-06	1.325328e-01	4.137429e-01	2.515848e-01	9.912759e-02	7.999447e-02
41	-2.099045e+02	-5.209688e-06	1.324756e-01	4.138705e-01	2.515498e-01	9.910997e-02	7.999479e-02
42	-2.099258e+02	-4.905206e-06	1.324200e-01	4.139947e-01	2.515157e-01	9.909283e-02	7.999509e-02
43	-2.099459e+02	-4.618389e-06	1.323659e-01	4.141154e-01	2.514826e-01	9.907617e-02	7.999538e-02
44	-2.099651e+02	-4.348117e-06	1.323132e-01	4.142328e-01	2.514504e-01	9.905996e-02	7.999565e-02
45	-2.099832e+02	-4.093346e-06	1.322621e-01	4.143470e-01	2.514190e-01	9.904420e-02	7.999591e-02
46	-2.100005e+02	-3.853106e-06	1.322122e-01	4.144581e-01	2.513885e-01	9.902886e-02	7.999615e-02
47	-2.100168e+02	-3.626495e-06	1.321638e-01	4.145663e-01	2.513588e-01	9.901394e-02	7.999637e-02
