RTO_iter	merit	base_merit	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-7.752530e+00	-7.752530e+00	-7.752530e+01	-3.276256e-02	1.295174e-01	4.930493e-01	2.141127e-01	9.131054e-02	4.723744e-02
2	-1.691410e+01	-1.691410e+01	-1.691410e+02	-1.434392e-02	1.257488e-01	4.534906e-01	2.363716e-01	9.630046e-02	6.565608e-02
3	-1.124762e+01		-2.034032e+02	9.092703e-04	9.972033e-02	4.487037e-01	2.538434e-01	9.995195e-02	8.090927e-02
4	-1.859447e+01	-1.859447e+01	-2.108393e+02	2.489461e-04	1.297703e-01	4.188648e-01	2.504434e-01	9.847206e-02	8.024895e-02
5	-1.724577e+01		-2.085483e+02	3.609054e-04	1.474279e-01	4.020941e-01	2.478324e-01	9.712923e-02	8.036091e-02
6	-1.989323e+01	-1.989323e+01	-2.098534e+02	1.092109e-04	1.393277e-01	4.099419e-01	2.489893e-01	9.779158e-02	8.010921e-02
7	-1.926198e+01		-2.106003e+02	1.798057e-04	1.270870e-01	4.222681e-01	2.503446e-01	9.844571e-02	8.017981e-02
8	-2.057940e+01	-2.057940e+01	-2.103402e+02	4.546190e-05	1.331276e-01	4.163589e-01	2.496002e-01	9.811829e-02	8.004546e-02
9	-2.058527e+01	-2.058527e+01	-2.103303e+02	4.477634e-05	1.272534e-01	4.223231e-01	2.502291e-01	9.843296e-02	8.004478e-02
10	-2.052346e+01		-2.103436e+02	5.108949e-05	1.333782e-01	4.160145e-01	2.496252e-01	9.812892e-02	8.005109e-02
11	-2.090069e+01	-2.090069e+01	-2.103486e+02	1.341694e-05	1.303661e-01	4.191351e-01	2.499209e-01	9.828934e-02	8.001342e-02
12	-2.097802e+01	-2.097802e+01	-2.103054e+02	5.252123e-06	1.283388e-01	4.210766e-01	2.502096e-01	9.843637e-02	8.000525e-02
13	-2.090380e+01		-2.103443e+02	1.306254e-05	1.314371e-01	4.178597e-01	2.499178e-01	9.828788e-02	8.001306e-02
14	-2.099966e+01	-2.099966e+01	-2.103343e+02	3.377430e-06	1.299022e-01	4.194469e-01	2.500679e-01	9.836614e-02	8.000338e-02
15	-2.100046e+01	-2.100046e+01	-2.103241e+02	3.194602e-06	1.314512e-01	4.178520e-01	2.499150e-01	9.828975e-02	8.000319e-02
16	-2.100384e+01	-2.100384e+01	-2.103344e+02	2.959378e-06	1.299502e-01	4.193799e-01	2.500737e-01	9.836917e-02	8.000296e-02
17	-2.100077e+01		-2.103236e+02	3.159725e-06	1.314916e-01	4.177964e-01	2.499193e-01	9.829192e-02	8.000316e-02
18	-2.102453e+01	-2.102453e+01	-2.103299e+02	8.461291e-07	1.307337e-01	4.185620e-01	2.500035e-01	9.833481e-02	8.000085e-02
19	-2.102645e+01	-2.102645e+01	-2.103311e+02	6.659753e-07	1.300297e-01	4.192682e-01	2.500841e-01	9.837517e-02	8.000067e-02
20	-2.102460e+01		-2.103301e+02	8.408975e-07	1.308148e-01	4.184472e-01	2.500140e-01	9.834007e-02	8.000084e-02
21	-2.103089e+01	-2.103089e+01	-2.103310e+02	2.209509e-07	1.304141e-01	4.188603e-01	2.500535e-01	9.836002e-02	8.000022e-02
22	-2.103197e+01	-2.103197e+01	-2.103312e+02	1.145271e-07	1.301442e-01	4.191184e-01	2.500919e-01	9.837927e-02	8.000011e-02
23	-2.103104e+01		-2.103315e+02	2.107232e-07	1.305202e-01	4.187158e-01	2.500639e-01	9.836522e-02	8.000021e-02
24	-2.103251e+01	-2.103251e+01	-2.103315e+02	6.348186e-08	1.303242e-01	4.189230e-01	2.500801e-01	9.837338e-02	8.000006e-02
25	-2.103292e+01	-2.103292e+01	-2.103317e+02	2.564158e-08	1.302539e-01	4.189808e-01	2.500958e-01	9.838120e-02	8.000003e-02
26	-2.103293e+01	-2.103293e+01	-2.103321e+02	2.742335e-08	1.303192e-01	4.188969e-01	2.500992e-01	9.838293e-02	8.000003e-02
27	-2.103294e+01	-2.103294e+01	-2.103323e+02	2.848756e-08	1.302398e-01	4.189644e-01	2.501155e-01	9.839108e-02	8.000003e-02
28	-2.103285e+01		-2.103325e+02	4.000967e-08	1.303559e-01	4.188296e-01	2.501131e-01	9.838988e-02	8.000004e-02
29	-2.103296e+01	-2.103296e+01	-2.103324e+02	2.804106e-08	1.303069e-01	4.188872e-01	2.501137e-01	9.839018e-02	8.000003e-02
