RTO_iter	Fa	Fb	Tr
0	3.600000e+00	1.000000e+01	8.500000e+01
1	3.000000e+00	7.855141e+00	9.010484e+01
2	4.500000e+00	8.746485e+00	8.886215e+01
3	4.500000e+00	8.746485e+00	8.886215e+01
4	4.164009e+00	8.261982e+00	8.805388e+01
5	3.583206e+00	7.966852e+00	8.815502e+01
6	3.281690e+00	7.888142e+00	8.879263e+01
7	3.499340e+00	8.111678e+00	8.861453e+01
8	3.245296e+00	8.211711e+00	9.013480e+01
9	3.390158e+00	8.196163e+00	8.934641e+01
10	3.510820e+00	8.294055e+00	8.918124e+01
11	3.441522e+00	8.415015e+00	8.988704e+01
12	3.477718e+00	8.356101e+00	8.952170e+01
13	3.522900e+00	8.419763e+00	8.955385e+01
14	3.593279e+00	8.558001e+00	8.974150e+01
15	3.310959e+00	8.559687e+00	9.108127e+01
16	3.607093e+00	8.707212e+00	9.018426e+01
17	3.732528e+00	8.798767e+00	9.001141e+01
18	3.667837e+00	8.755745e+00	9.010731e+01
19	3.642403e+00	8.822451e+00	9.042480e+01
20	3.710484e+00	8.857859e+00	9.027793e+01
21	3.664898e+00	8.910866e+00	9.062674e+01
22	3.691345e+00	8.887566e+00	9.044469e+01
23	3.715542e+00	8.918242e+00	9.045057e+01
24	3.722630e+00	8.955531e+00	9.054340e+01
25	3.773872e+00	9.014511e+00	9.054015e+01
26	3.711185e+00	9.046042e+00	9.088376e+01
27	3.747230e+00	9.037300e+00	9.071270e+01
28	3.777433e+00	9.061825e+00	9.067639e+01
29	3.762377e+00	9.094166e+00	9.083584e+01
30	3.797020e+00	9.110460e+00	9.075753e+01
31	3.774500e+00	9.137489e+00	9.092757e+01
32	3.787696e+00	9.125577e+00	9.083939e+01
33	3.800052e+00	9.140735e+00	9.084089e+01
34	3.803413e+00	9.159437e+00	9.088718e+01
35	3.829489e+00	9.188535e+00	9.088216e+01
36	3.798089e+00	9.204588e+00	9.105045e+01
37	3.816019e+00	9.199864e+00	9.096742e+01
38	3.830863e+00	9.212501e+00	9.095181e+01
39	3.823438e+00	9.228801e+00	9.103031e+01
40	3.840760e+00	9.237027e+00	9.099195e+01
41	3.829620e+00	9.250732e+00	9.107593e+01
42	3.836139e+00	9.244671e+00	9.103266e+01
43	3.842285e+00	9.252325e+00	9.103379e+01
44	3.844076e+00	9.261708e+00	9.105639e+01
45	3.857050e+00	9.276340e+00	9.105425e+01
46	3.841447e+00	9.284656e+00	9.113784e+01
47	3.850363e+00	9.282133e+00	9.109679e+01
48	3.857796e+00	9.288499e+00	9.108919e+01
49	3.854385e+00	9.296861e+00	9.112767e+01
50	3.863007e+00	9.301185e+00	9.110942e+01
51	3.857479e+00	9.308134e+00	9.115126e+01
52	3.860677e+00	9.305080e+00	9.113000e+01
53	3.863784e+00	9.308977e+00	9.113066e+01
54	3.864706e+00	9.313741e+00	9.114203e+01
55	3.871186e+00	9.321115e+00	9.114113e+01
56	3.863439e+00	9.325455e+00	9.118301e+01
57	3.867842e+00	9.324120e+00	9.116266e+01
58	3.871647e+00	9.327312e+00	9.115858e+01
59	3.869985e+00	9.331595e+00	9.117791e+01
60	3.874339e+00	9.333848e+00	9.116894e+01
61	3.871582e+00	9.337422e+00	9.119007e+01
62	3.873116e+00	9.335918e+00	9.117979e+01
63	3.874829e+00	9.337924e+00	9.117972e+01
64	3.875236e+00	9.340453e+00	9.118604e+01
65	3.878593e+00	9.344136e+00	9.118514e+01
66	3.874673e+00	9.346365e+00	9.120636e+01
67	3.876810e+00	9.345712e+00	9.119652e+01
68	3.878868e+00	9.347344e+00	9.119403e+01
69	3.877849e+00	9.349539e+00	9.120452e+01
70	3.880188e+00	9.350647e+00	9.119940e+01
71	3.878708e+00	9.352523e+00	9.121058e+01
72	3.879438e+00	9.351873e+00	9.120591e+01
73	3.880628e+00	9.352903e+00	9.120474e+01
74	3.880583e+00	9.354405e+00	9.120954e+01
75	3.881725e+00	9.355491e+00	9.120872e+01
76	3.881246e+00	9.356870e+00	9.121471e+01
77	3.882616e+00	9.357605e+00	9.121198e+01
78	3.881733e+00	9.358730e+00	9.121867e+01
79	3.882028e+00	9.358494e+00	9.121686e+01
80	3.883020e+00	9.359091e+00	9.121508e+01
