RTO_iter	smallest_error_index	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	profit_eps	Fb_profit_lam	Tr_profit_lam	$residue
0									2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	
1	0.000000e+00	-1.792546e+02	-1.792546e+02	1.456398e-01	3.793878e-01	2.781069e-01	1.101474e-01	8.671814e-02	2.145278e+08	4.345737e+13	8.245018e+03	1.271047e+04	-3.892236e-04	1.271195e-01	3.851410e-03	1.004149e+01
2	1.000000e+00	-1.779959e+02	-1.778599e+02	1.394364e-01	4.185128e-01	2.642422e-01	1.092773e-01	6.853137e-02	2.149141e+08	4.347594e+13	8.269382e+03	1.274975e+04	-1.371439e-04	5.272845e-02	1.651850e-03	6.980758e+00
3	1.000000e+00	-1.852117e+02	-1.851807e+02	1.256576e-01	4.201439e-01	2.694224e-01	1.096788e-01	7.509739e-02	2.166015e+08	4.330761e+13	8.291775e+03	1.278002e+04	-3.307716e-05	1.391825e-02	4.428077e-04	2.060721e+00
4	1.000000e+00	-1.880769e+02	-1.880722e+02	1.186002e-01	4.206822e-01	2.720922e-01	1.097565e-01	7.886886e-02	2.185568e+08	4.306433e+13	8.331713e+03	1.283865e+04	-4.217374e-07	2.606878e-04	3.990458e-06	2.055155e-01
5	2.000000e+00	-1.907525e+02	-1.907524e+02	1.159682e-01	4.228672e-01	2.724369e-01	1.099638e-01	7.876390e-02	2.169839e+08	4.327783e+13	8.310451e+03	1.280841e+04	-2.310938e-05	1.045350e-02	3.502406e-04	1.264468e+00
6	1.000000e+00	-1.899462e+02	-1.899454e+02	1.110565e-01	4.180794e-01	2.761187e-01	1.097164e-01	8.502898e-02	2.117579e+08	4.394443e+13	8.299487e+03	1.281370e+04	-4.594303e-05	2.080030e-02	7.170776e-04	1.754827e+01
7	1.000000e+00	-1.919057e+02	-1.919049e+02	1.097457e-01	4.174407e-01	2.770628e-01	1.099217e-01	8.582917e-02	2.167348e+08	4.331881e+13	8.303540e+03	1.280098e+04	-6.408564e-06	2.940300e-03	1.008203e-04	1.551046e+00
8	1.000000e+00	-1.914139e+02	-1.914139e+02	1.088060e-01	4.169426e-01	2.775606e-01	1.098251e-01	8.686565e-02	2.155564e+08	4.345075e+13	8.327091e+03	1.284204e+04	-5.246223e-06	2.416219e-03	8.062301e-05	3.923832e+00
9	2.000000e+00	-1.916519e+02	-1.916518e+02	1.104137e-01	4.197958e-01	2.758242e-01	1.098849e-01	8.408142e-02	2.211685e+08	4.270994e+13	8.357300e+03	1.286632e+04	9.161927e-06	-4.153136e-03	-1.421724e-04	3.000328e+00
10	1.000000e+00	-1.905486e+02	-1.905488e+02	1.108378e-01	4.207628e-01	2.751582e-01	1.097481e-01	8.349314e-02	2.212393e+08	4.269120e+13	8.359380e+03	1.286966e+04	4.625000e-06	-2.095814e-03	-7.319206e-05	3.067605e+00
11	2.000000e+00	-1.909971e+02	-1.909971e+02	1.097173e-01	4.192720e-01	2.762270e-01	1.097784e-01	8.500538e-02	2.165144e+08	4.333839e+13	8.337981e+03	1.285483e+04	-6.914008e-06	3.199539e-03	1.103977e-04	1.861784e+00
12	1.000000e+00	-1.914214e+02	-1.914214e+02	1.081778e-01	4.169055e-01	2.778064e-01	1.097997e-01	8.731048e-02	2.174713e+08	4.320023e+13	8.356599e+03	1.287836e+04	-1.888646e-06	8.859286e-04	2.919937e-05	7.447102e-01
13	1.000000e+00	-1.904365e+02	-1.904365e+02	1.096021e-01	4.188775e-01	2.763737e-01	1.097069e-01	8.543980e-02	2.172690e+08	4.322893e+13	8.355831e+03	1.287784e+04	-1.107268e-06	5.165056e-04	1.732000e-05	9.257173e-01
14	2.000000e+00	-1.904060e+02	-1.904060e+02	1.091366e-01	4.180555e-01	2.768787e-01	1.096944e-01	8.623478e-02	2.193722e+08	4.294469e+13	8.352529e+03	1.286664e+04	1.318950e-06	-5.811756e-04	-2.188908e-05	4.558974e-01
15	1.000000e+00	-1.914541e+02	-1.914541e+02	1.082786e-01	4.170134e-01	2.777286e-01	1.098067e-01	8.717271e-02	2.206275e+08	4.276874e+13	8.361410e+03	1.287381e+04	1.747524e-06	-7.880601e-04	-2.825447e-05	1.853820e+00
16	1.000000e+00	-1.903267e+02	-1.903267e+02	1.088682e-01	4.178913e-01	2.770362e-01	1.096751e-01	8.652913e-02	2.216882e+08	4.261723e+13	8.365331e+03	1.287576e+04	1.334019e-06	-6.040607e-04	-2.149520e-05	4.022494e+00
17	2.000000e+00	-1.902592e+02	-1.902592e+02	1.088419e-01	4.178540e-01	2.770543e-01	1.096658e-01	8.658400e-02	2.145990e+08	4.361401e+13	8.319462e+03	1.283642e+04	-3.195061e-06	1.464724e-03	5.299836e-05	5.768291e+00
18	2.000000e+00	-1.930329e+02	-1.930329e+02	1.061865e-01	4.141170e-01	2.798465e-01	1.099599e-01	8.989009e-02	2.217888e+08	4.260401e+13	8.343245e+03	1.284179e+04	5.393372e-06	-2.446059e-03	-8.781816e-05	4.088741e+00
19	1.000000e+00	-1.905028e+02	-1.905028e+02	1.080764e-01	4.169665e-01	2.777241e-01	1.096767e-01	8.755623e-02	2.220891e+08	4.256982e+13	8.363362e+03	1.287136e+04	3.056982e-06	-1.389687e-03	-4.845268e-05	5.213580e+00
20	1.000000e+00	-1.902372e+02	-1.902372e+02	1.096361e-01	4.191988e-01	2.762087e-01	1.096784e-01	8.527801e-02	2.213583e+08	4.266539e+13	8.354239e+03	1.285962e+04	1.178492e-06	-5.332937e-04	-1.909394e-05	3.176373e+00
