RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.750371e+02	1.285727e-01	3.762604e-01	2.752469e-01	1.092638e-01	8.507895e-02
3	-1.831389e+02	1.168754e-01	3.740486e-01	2.826342e-01	1.099301e-01	9.416112e-02
4	-1.872562e+02	1.070038e-01	3.789306e-01	2.856548e-01	1.099965e-01	9.849278e-02
5	-1.901796e+02	9.615866e-02	3.845981e-01	2.886234e-01	1.098195e-01	1.034765e-01
6	-1.902212e+02	9.608685e-02	3.838403e-01	2.889798e-01	1.098317e-01	1.039744e-01
7	-1.880175e+02	1.056674e-01	3.668589e-01	2.914520e-01	1.101937e-01	1.065970e-01
8	-1.888998e+02	1.025983e-01	3.764489e-01	2.889312e-01	1.100508e-01	1.032445e-01
9	-1.891826e+02	1.015373e-01	3.737298e-01	2.906001e-01	1.100758e-01	1.056726e-01
10	-1.908727e+02	9.016176e-02	3.894065e-01	2.894452e-01	1.095696e-01	1.054589e-01
11	-1.908230e+02	8.429733e-02	3.961759e-01	2.892988e-01	1.092021e-01	1.063419e-01
12	-1.908870e+02	8.974274e-02	3.843404e-01	2.917673e-01	1.096200e-01	1.087910e-01
13	-1.907482e+02	9.005936e-02	3.811118e-01	2.929632e-01	1.096597e-01	1.104656e-01
14	-1.906299e+02	9.082638e-02	3.791388e-01	2.934268e-01	1.097059e-01	1.110224e-01
15	-1.909327e+02	8.835635e-02	3.858507e-01	2.917757e-01	1.095418e-01	1.090383e-01
16	-1.908955e+02	8.465873e-02	3.922010e-01	2.908066e-01	1.092813e-01	1.083660e-01
17	-1.904710e+02	8.079052e-02	3.984924e-01	2.899021e-01	1.089656e-01	1.079564e-01
18	-1.906903e+02	9.181417e-02	3.804848e-01	2.924128e-01	1.097414e-01	1.093951e-01
19	-1.908520e+02	8.573134e-02	3.958829e-01	2.887654e-01	1.092758e-01	1.053207e-01
20	-1.903133e+02	8.041428e-02	4.019527e-01	2.886102e-01	1.088825e-01	1.062680e-01
