RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.777733e+02	1.229650e-01	3.813097e-01	2.760891e-01	1.093605e-01	8.605211e-02
3	-1.861133e+02	1.096110e-01	3.791549e-01	2.842168e-01	1.099555e-01	9.645867e-02
4	-1.893792e+02	9.987989e-02	3.828369e-01	2.875544e-01	1.099075e-01	1.016091e-01
5	-1.909147e+02	8.547282e-02	3.895521e-01	2.915456e-01	1.093568e-01	1.092479e-01
6	-1.908214e+02	9.113837e-02	3.879614e-01	2.895965e-01	1.096274e-01	1.055126e-01
7	-1.889546e+02	1.024584e-01	3.756101e-01	2.893556e-01	1.100627e-01	1.038454e-01
8	-1.890153e+02	1.018207e-01	3.793868e-01	2.880671e-01	1.099926e-01	1.021227e-01
9	-1.894826e+02	1.002600e-01	3.766986e-01	2.899741e-01	1.100191e-01	1.049040e-01
10	-1.906966e+02	8.265626e-02	3.922176e-01	2.916979e-01	1.091637e-01	1.100558e-01
11	-1.900132e+02	7.827512e-02	3.987273e-01	2.909096e-01	1.087901e-01	1.099940e-01
12	-1.909725e+02	8.825546e-02	3.893265e-01	2.903671e-01	1.094956e-01	1.070639e-01
13	-1.909115e+02	8.934272e-02	3.850533e-01	2.916546e-01	1.095952e-01	1.086963e-01
14	-1.907793e+02	9.114054e-02	3.820840e-01	2.920604e-01	1.097006e-01	1.089888e-01
15	-1.909472e+02	8.889226e-02	3.865337e-01	2.912439e-01	1.095592e-01	1.081883e-01
16	-1.908341e+02	8.384183e-02	3.924773e-01	2.910594e-01	1.092322e-01	1.088926e-01
17	-1.901643e+02	7.897861e-02	3.989251e-01	2.905201e-01	1.088385e-01	1.092647e-01
18	-1.906461e+02	9.294563e-02	3.866891e-01	2.892788e-01	1.097049e-01	1.048034e-01
19	-1.907790e+02	8.511686e-02	3.974903e-01	2.883666e-01	1.092167e-01	1.048999e-01
20	-1.894655e+02	7.618928e-02	4.042352e-01	2.895062e-01	1.085544e-01	1.085962e-01
