RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.685024e+02	1.194394e-01	4.111203e-01	2.642009e-01	1.076430e-01	7.337248e-02
3	-1.771105e+02	1.060364e-01	4.169216e-01	2.690549e-01	1.081636e-01	7.909162e-02
4	-1.815405e+02	9.880955e-02	4.182496e-01	2.723598e-01	1.084033e-01	8.332992e-02
5	-1.838455e+02	9.488867e-02	4.180588e-01	2.745110e-01	1.085234e-01	8.619621e-02
6	-1.850986e+02	9.269992e-02	4.175208e-01	2.758850e-01	1.085895e-01	8.805900e-02
7	-1.858222e+02	9.139697e-02	4.170330e-01	2.767693e-01	1.086275e-01	8.927144e-02
8	-1.862049e+02	9.077202e-02	4.166101e-01	2.772758e-01	1.086524e-01	8.995642e-02
9	-1.864373e+02	9.034918e-02	4.163768e-01	2.775936e-01	1.086653e-01	9.039454e-02
10	-1.865987e+02	8.999840e-02	4.162689e-01	2.778180e-01	1.086709e-01	9.071437e-02
11	-1.867097e+02	8.968893e-02	4.162678e-01	2.779735e-01	1.086708e-01	9.094794e-02
12	-1.867796e+02	8.958157e-02	4.161575e-01	2.780766e-01	1.086760e-01	9.108684e-02
13	-1.868259e+02	8.953099e-02	4.160585e-01	2.781462e-01	1.086807e-01	9.117707e-02
14	-1.868689e+02	8.934955e-02	4.161254e-01	2.782068e-01	1.086770e-01	9.127901e-02
15	-1.868946e+02	8.928991e-02	4.161067e-01	2.782449e-01	1.086778e-01	9.133396e-02
16	-1.869075e+02	8.923831e-02	4.161228e-01	2.782634e-01	1.086768e-01	9.136453e-02
17	-1.869174e+02	8.926500e-02	4.160565e-01	2.782797e-01	1.086801e-01	9.137922e-02
18	-1.869252e+02	8.930101e-02	4.159870e-01	2.782929e-01	1.086836e-01	9.138855e-02
19	-1.868900e+02	8.942684e-02	4.159604e-01	2.782421e-01	1.086852e-01	9.130739e-02
20	-1.868811e+02	8.940736e-02	4.160145e-01	2.782276e-01	1.086826e-01	9.129363e-02
