RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.737000e+02	1.258176e-01	3.872268e-01	2.717780e-01	1.088473e-01	8.112513e-02
3	-1.822217e+02	1.162110e-01	3.814202e-01	2.797325e-01	1.096864e-01	9.053945e-02
4	-1.861247e+02	1.093876e-01	3.798849e-01	2.840146e-01	1.099379e-01	9.620820e-02
5	-1.890682e+02	1.012702e-01	3.814043e-01	2.874787e-01	1.099483e-01	1.013731e-01
6	-1.896405e+02	9.886890e-02	3.829551e-01	2.880017e-01	1.098944e-01	1.023194e-01
7	-1.890444e+02	1.021412e-01	3.746680e-01	2.899096e-01	1.100726e-01	1.046467e-01
8	-1.889899e+02	1.023265e-01	3.755738e-01	2.894360e-01	1.100619e-01	1.039683e-01
9	-1.892959e+02	1.010325e-01	3.738934e-01	2.907776e-01	1.100659e-01	1.059685e-01
10	-1.905015e+02	9.449650e-02	3.817292e-01	2.906326e-01	1.098235e-01	1.064784e-01
11	-1.909530e+02	8.870727e-02	3.898347e-01	2.899438e-01	1.095071e-01	1.063944e-01
12	-1.909531e+02	8.908036e-02	3.875667e-01	2.907243e-01	1.095548e-01	1.074221e-01
13	-1.908606e+02	8.899930e-02	3.835941e-01	2.924200e-01	1.095923e-01	1.098531e-01
14	-1.907220e+02	8.938092e-02	3.808996e-01	2.933615e-01	1.096279e-01	1.111586e-01
15	-1.908566e+02	8.828098e-02	3.838906e-01	2.926253e-01	1.095547e-01	1.102738e-01
16	-1.909054e+02	8.564565e-02	3.887104e-01	2.918183e-01	1.093749e-01	1.096028e-01
17	-1.906986e+02	8.239592e-02	3.945645e-01	2.908342e-01	1.091205e-01	1.088897e-01
18	-1.909592e+02	8.667622e-02	3.887369e-01	2.913394e-01	1.094289e-01	1.087223e-01
19	-1.909270e+02	8.532076e-02	3.928758e-01	2.902228e-01	1.093068e-01	1.074139e-01
20	-1.905821e+02	8.159944e-02	3.978800e-01	2.897988e-01	1.090248e-01	1.076238e-01
