RTO_iter	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	profit_eps	Fb_profit_lam	Tr_profit_lam	$residue
0								2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	
1	-1.792546e+02	-1.792546e+02	1.456398e-01	3.793878e-01	2.781069e-01	1.101474e-01	8.671814e-02	2.145278e+08	4.345737e+13	8.245018e+03	1.271047e+04	-3.892236e-04	1.271195e-01	3.851410e-03	1.004149e+01
2	-1.779956e+02	-1.779269e+02	1.394371e-01	4.185139e-01	2.642414e-01	1.092773e-01	6.853033e-02	2.107449e+08	4.384853e+13	8.262906e+03	1.275364e+04	-6.579839e-04	2.301084e-01	7.096777e-03	6.584347e+00
3	-1.851554e+02	-1.850894e+02	1.259987e-01	4.199863e-01	2.693558e-01	1.096873e-01	7.497189e-02	2.087397e+08	4.406737e+13	8.279283e+03	1.278755e+04	-7.817015e-04	2.816250e-01	8.759155e-03	1.656782e+00
4	-1.880212e+02	-1.879771e+02	1.192661e-01	4.203007e-01	2.719990e-01	1.097821e-01	7.865214e-02	2.088004e+08	4.404946e+13	8.315917e+03	1.284796e+04	-7.755037e-04	2.790137e-01	8.670237e-03	8.711541e-03
5	-1.906974e+02	-1.906666e+02	1.168250e-01	4.223193e-01	2.723428e-01	1.100007e-01	7.851219e-02	2.072921e+08	4.424108e+13	8.294547e+03	1.281732e+04	-8.583161e-04	3.156490e-01	9.932270e-03	8.506832e-01
6	-1.899263e+02	-1.899160e+02	1.120191e-01	4.174082e-01	2.760400e-01	1.097637e-01	8.476906e-02	2.003495e+08	4.506329e+13	8.280215e+03	1.282395e+04	-1.213872e-03	4.746675e-01	1.544975e-02	1.603779e+01
7	-1.918831e+02	-1.918775e+02	1.109667e-01	4.165661e-01	2.769735e-01	1.099833e-01	8.551037e-02	1.986612e+08	4.526414e+13	8.273632e+03	1.281928e+04	-1.298712e-03	5.127065e-01	1.678258e-02	9.199897e-01
8	-1.913964e+02	-1.913973e+02	1.104456e-01	4.159401e-01	2.773712e-01	1.099068e-01	8.633628e-02	1.957093e+08	4.558483e+13	8.293352e+03	1.286138e+04	-1.447363e-03	5.797098e-01	1.904785e-02	2.833089e+00
9	-1.916170e+02	-1.916092e+02	1.123081e-01	4.185418e-01	2.756432e-01	1.099790e-01	8.352794e-02	1.989137e+08	4.521796e+13	8.319847e+03	1.288872e+04	-1.278592e-03	5.037862e-01	1.649203e-02	3.632030e+00
10	-1.905092e+02	-1.904988e+02	1.128727e-01	4.194553e-01	2.749467e-01	1.098474e-01	8.287797e-02	2.021197e+08	4.483886e+13	8.326865e+03	1.288803e+04	-1.111305e-03	4.286264e-01	1.391176e-02	3.573334e+00
11	-1.909728e+02	-1.909664e+02	1.116135e-01	4.179742e-01	2.760641e-01	1.098739e-01	8.447432e-02	2.002370e+08	4.506988e+13	8.309670e+03	1.286913e+04	-1.206617e-03	4.713832e-01	1.542609e-02	1.165674e+00
12	-1.914081e+02	-1.914103e+02	1.099844e-01	4.156279e-01	2.776694e-01	1.098929e-01	8.682537e-02	1.993665e+08	4.516617e+13	8.325179e+03	1.289485e+04	-1.250012e-03	4.909565e-01	1.609889e-02	2.432980e-01
13	-1.904302e+02	-1.904280e+02	1.114754e-01	4.176315e-01	2.761994e-01	1.098027e-01	8.489104e-02	1.983169e+08	4.528886e+13	8.322919e+03	1.289521e+04	-1.302997e-03	5.147520e-01	1.692863e-02	3.595426e-01
14	-1.904034e+02	-1.904038e+02	1.110828e-01	4.167831e-01	2.766890e-01	1.097941e-01	8.565107e-02	1.995457e+08	4.514401e+13	8.318508e+03	1.288543e+04	-1.241676e-03	4.872513e-01	1.595867e-02	4.816289e-01
15	-1.914473e+02	-1.914479e+02	1.102598e-01	4.157542e-01	2.775208e-01	1.099080e-01	8.655716e-02	2.020715e+08	4.483759e+13	8.329539e+03	1.289113e+04	-1.111774e-03	4.289564e-01	1.391808e-02	2.159520e+00
16	-1.903295e+02	-1.903287e+02	1.107493e-01	4.166674e-01	2.768509e-01	1.097720e-01	8.596039e-02	2.056438e+08	4.439387e+13	8.337707e+03	1.289020e+04	-9.255314e-04	3.453416e-01	1.098870e-02	4.442789e+00
17	-1.902705e+02	-1.902687e+02	1.105152e-01	4.167458e-01	2.768983e-01	1.097534e-01	8.608738e-02	2.017285e+08	4.489825e+13	8.296812e+03	1.284654e+04	-1.118657e-03	4.318676e-01	1.416501e-02	4.817531e+00
18	-1.930141e+02	-1.930218e+02	1.077641e-01	4.130217e-01	2.797185e-01	1.100411e-01	8.945452e-02	2.053754e+08	4.443732e+13	8.315681e+03	1.285760e+04	-9.310035e-04	3.473605e-01	1.117620e-02	4.549185e+00
19	-1.905003e+02	-1.905024e+02	1.096843e-01	4.160184e-01	2.775250e-01	1.097576e-01	8.701465e-02	2.092222e+08	4.394980e+13	8.341293e+03	1.288243e+04	-7.238341e-04	2.538603e-01	7.956593e-03	5.533329e+00
20	-1.902450e+02	-1.902418e+02	1.109773e-01	4.183160e-01	2.760813e-01	1.097483e-01	8.487708e-02	2.122108e+08	4.355954e+13	8.338253e+03	1.286617e+04	-5.655843e-04	1.824433e-01	5.444149e-03	3.243803e+00
