RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.744546e+02	1.204665e-01	3.967071e-01	2.704161e-01	1.086321e-01	7.972784e-02
3	-1.837111e+02	1.070017e-01	3.977252e-01	2.773568e-01	1.092883e-01	8.817012e-02
4	-1.877399e+02	9.941754e-02	3.968011e-01	2.817202e-01	1.094897e-01	9.411138e-02
5	-1.901378e+02	9.337366e-02	3.934559e-01	2.861841e-01	1.095686e-01	1.005702e-01
6	-1.904629e+02	9.173655e-02	3.933499e-01	2.870195e-01	1.095367e-01	1.019193e-01
7	-1.905745e+02	9.093969e-02	3.935339e-01	2.873220e-01	1.095119e-01	1.024474e-01
8	-1.905654e+02	9.072818e-02	3.940566e-01	2.871992e-01	1.094940e-01	1.023169e-01
9	-1.908532e+02	8.922441e-02	3.921529e-01	2.887221e-01	1.094871e-01	1.046219e-01
10	-1.909800e+02	8.735607e-02	3.895103e-01	2.907045e-01	1.094526e-01	1.076990e-01
11	-1.909274e+02	8.629229e-02	3.880756e-01	2.917899e-01	1.094160e-01	1.094367e-01
12	-1.909475e+02	8.654152e-02	3.884038e-01	2.915398e-01	1.094257e-01	1.090326e-01
13	-1.908655e+02	8.585510e-02	3.871219e-01	2.923844e-01	1.094008e-01	1.103743e-01
14	-1.908106e+02	8.554728e-02	3.865103e-01	2.927765e-01	1.093877e-01	1.110016e-01
15	-1.908326e+02	8.558763e-02	3.868840e-01	2.926035e-01	1.093874e-01	1.107431e-01
16	-1.907882e+02	8.534942e-02	3.864542e-01	2.928885e-01	1.093765e-01	1.112032e-01
17	-1.907402e+02	8.510054e-02	3.860804e-01	2.931544e-01	1.093639e-01	1.116400e-01
18	-1.909565e+02	8.659241e-02	3.887545e-01	2.913702e-01	1.094245e-01	1.087819e-01
19	-1.909694e+02	8.686263e-02	3.890631e-01	2.911179e-01	1.094345e-01	1.083734e-01
20	-1.908931e+02	8.597951e-02	3.876003e-01	2.921294e-01	1.094036e-01	1.099833e-01
