RTO_iter	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	profit_eps	Fb_profit_lam	Tr_profit_lam
0								2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00
1	-1.792546e+02	-1.792546e+02	1.456398e-01	3.793878e-01	2.781069e-01	1.101474e-01	8.671814e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	2.815518e+01	3.903506e+01	-6.449768e+00
2	-1.733543e+02	-1.742349e+02	1.254286e-01	3.591382e-01	2.931611e-01	1.087347e-01	1.135374e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.022547e+00	3.244027e+01	-6.813862e+00
3	-1.643858e+02	-1.832613e+02	1.082290e-01	3.566276e-01	2.995412e-01	1.068548e-01	1.287473e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.980050e+01	2.951821e+01	-7.126094e+00
4	-1.566221e+02	-1.875062e+02	9.626802e-02	3.587681e-01	3.022681e-01	1.053531e-01	1.373428e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.138078e+01	2.811268e+01	-7.333021e+00
5	-1.506759e+02	-1.894169e+02	8.855553e-02	3.614517e-01	3.034210e-01	1.042799e-01	1.422918e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.899602e+01	2.732240e+01	-7.455847e+00
6	-1.464948e+02	-1.902565e+02	8.370918e-02	3.636786e-01	3.038922e-01	1.035592e-01	1.451608e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.389730e+01	2.685207e+01	-7.528021e+00
7	-1.437112e+02	-1.906278e+02	8.069158e-02	3.653061e-01	3.040750e-01	1.030927e-01	1.468346e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.699195e+01	2.656900e+01	-7.571243e+00
8	-1.419156e+02	-1.907965e+02	7.881837e-02	3.664233e-01	3.041408e-01	1.027968e-01	1.478207e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.892432e+01	2.639814e+01	-7.597607e+00
9	-1.407774e+02	-1.908766e+02	7.765642e-02	3.671624e-01	3.041615e-01	1.026112e-01	1.484085e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.012479e+01	2.629461e+01	-7.613869e+00
10	-1.400627e+02	-1.909165e+02	7.693561e-02	3.676403e-01	3.041660e-01	1.024954e-01	1.487628e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.086920e+01	2.623156e+01	-7.623954e+00
11	-1.396161e+02	-1.909374e+02	7.648836e-02	3.679448e-01	3.041654e-01	1.024233e-01	1.489782e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.133067e+01	2.619296e+01	-7.630220e+00
12	-1.393379e+02	-1.909489e+02	7.621078e-02	3.681370e-01	3.041637e-01	1.023785e-01	1.491101e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.161680e+01	2.616924e+01	-7.634116e+00
13	-1.391648e+02	-1.909555e+02	7.603847e-02	3.682576e-01	3.041620e-01	1.023506e-01	1.491913e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.179428e+01	2.615461e+01	-7.636538e+00
14	-1.390571e+02	-1.909594e+02	7.593149e-02	3.683330e-01	3.041608e-01	1.023333e-01	1.492414e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.190441e+01	2.614556e+01	-7.638043e+00
15	-1.389903e+02	-1.909617e+02	7.586507e-02	3.683800e-01	3.041600e-01	1.023226e-01	1.492724e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.197276e+01	2.613996e+01	-7.638978e+00
16	-1.389487e+02	-1.909631e+02	7.582383e-02	3.684093e-01	3.041595e-01	1.023159e-01	1.492916e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.201519e+01	2.613649e+01	-7.639559e+00
17	-1.389229e+02	-1.909639e+02	7.579822e-02	3.684275e-01	3.041591e-01	1.023117e-01	1.493035e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.204154e+01	2.613434e+01	-7.639920e+00
18	-1.389069e+02	-1.909645e+02	7.578231e-02	3.684388e-01	3.041589e-01	1.023092e-01	1.493109e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.205789e+01	2.613300e+01	-7.640144e+00
19	-1.388969e+02	-1.909648e+02	7.577244e-02	3.684458e-01	3.041587e-01	1.023076e-01	1.493154e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.206805e+01	2.613217e+01	-7.640284e+00
20	-1.388908e+02	-1.909650e+02	7.576631e-02	3.684502e-01	3.041587e-01	1.023066e-01	1.493183e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.207436e+01	2.613166e+01	-7.640370e+00
