RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.725023e+02	1.324835e-01	3.745520e-01	2.738130e-01	1.090794e-01	8.348131e-02
3	-1.800882e+02	1.231723e-01	3.701097e-01	2.809852e-01	1.098207e-01	9.201578e-02
4	-1.850632e+02	1.123295e-01	3.772463e-01	2.836331e-01	1.099567e-01	9.557945e-02
5	-1.899648e+02	9.694055e-02	3.855436e-01	2.878408e-01	1.098147e-01	1.023171e-01
6	-1.895634e+02	9.912441e-02	3.831651e-01	2.877865e-01	1.098931e-01	1.020005e-01
7	-1.827264e+02	1.196683e-01	3.500309e-01	2.914308e-01	1.102777e-01	1.063130e-01
8	-1.849562e+02	1.143558e-01	3.684609e-01	2.863812e-01	1.101397e-01	9.915276e-02
9	-1.853982e+02	1.136925e-01	3.623490e-01	2.893236e-01	1.102469e-01	1.032448e-01
10	-1.904302e+02	9.282051e-02	3.913419e-01	2.873587e-01	1.096091e-01	1.022107e-01
11	-1.903050e+02	8.227945e-02	4.039336e-01	2.869238e-01	1.089406e-01	1.035638e-01
12	-1.907094e+02	9.210140e-02	3.813005e-01	2.919397e-01	1.097462e-01	1.086709e-01
13	-1.903206e+02	9.267366e-02	3.752129e-01	2.941939e-01	1.098023e-01	1.118838e-01
14	-1.899587e+02	9.401271e-02	3.716605e-01	2.950324e-01	1.098627e-01	1.129605e-01
15	-1.908939e+02	8.942139e-02	3.844510e-01	2.918695e-01	1.096046e-01	1.089904e-01
16	-1.907154e+02	8.268713e-02	3.965532e-01	2.898691e-01	1.091094e-01	1.074756e-01
17	-1.891345e+02	7.566170e-02	4.088625e-01	2.877815e-01	1.084290e-01	1.063854e-01
18	-1.900938e+02	9.561600e-02	3.739458e-01	2.933465e-01	1.099241e-01	1.102474e-01
19	-1.902403e+02	8.438770e-02	4.042375e-01	2.858200e-01	1.090254e-01	1.016539e-01
20	-1.883083e+02	7.491089e-02	4.159154e-01	2.850997e-01	1.082029e-01	1.030409e-01
