RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.652479e+02	1.383491e-01	3.807978e-01	2.675219e-01	1.082072e-01	7.666118e-02
3	-1.738938e+02	1.303966e-01	3.753788e-01	2.746195e-01	1.091851e-01	8.437387e-02
4	-1.794088e+02	1.233873e-01	3.731359e-01	2.795268e-01	1.096994e-01	9.019195e-02
5	-1.830420e+02	1.173785e-01	3.727739e-01	2.829252e-01	1.099538e-01	9.452632e-02
6	-1.854844e+02	1.123291e-01	3.734485e-01	2.852831e-01	1.100615e-01	9.774000e-02
7	-1.871456e+02	1.081436e-01	3.746360e-01	2.869221e-01	1.100873e-01	1.001214e-01
8	-1.882832e+02	1.047056e-01	3.760236e-01	2.880636e-01	1.100688e-01	1.018889e-01
9	-1.890658e+02	1.018983e-01	3.774323e-01	2.888599e-01	1.100284e-01	1.032046e-01
10	-1.896066e+02	9.961464e-02	3.787649e-01	2.894165e-01	1.099790e-01	1.041876e-01
11	-1.899820e+02	9.776125e-02	3.799739e-01	2.898063e-01	1.099282e-01	1.049250e-01
12	-1.902441e+02	9.625921e-02	3.810413e-01	2.900800e-01	1.098798e-01	1.054807e-01
13	-1.904282e+02	9.504289e-02	3.819661e-01	2.902728e-01	1.098359e-01	1.059016e-01
14	-1.905587e+02	9.405833e-02	3.827564e-01	2.904091e-01	1.097972e-01	1.062220e-01
15	-1.906518e+02	9.326151e-02	3.834246e-01	2.905058e-01	1.097638e-01	1.064673e-01
16	-1.907190e+02	9.261665e-02	3.839852e-01	2.905748e-01	1.097354e-01	1.066560e-01
17	-1.907680e+02	9.209473e-02	3.844525e-01	2.906242e-01	1.097115e-01	1.068019e-01
18	-1.908040e+02	9.167227e-02	3.848401e-01	2.906600e-01	1.096915e-01	1.069154e-01
19	-1.908307e+02	9.133027e-02	3.851602e-01	2.906859e-01	1.096749e-01	1.070040e-01
20	-1.908509e+02	9.105337e-02	3.854238e-01	2.907049e-01	1.096613e-01	1.070736e-01
