RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.178000e+00	7.763916e+01
2	4.312415e+00	7.972911e+01
3	4.418228e+00	8.144412e+01
4	4.508442e+00	8.314117e+01
5	4.565838e+00	8.413659e+01
6	4.597730e+00	8.485160e+01
7	4.634928e+00	8.544147e+01
8	4.662468e+00	8.618320e+01
9	4.699333e+00	8.703872e+01
10	4.727407e+00	8.771649e+01
11	4.734662e+00	8.803951e+01
12	4.742896e+00	8.849809e+01
13	4.748509e+00	8.884755e+01
14	4.759881e+00	8.910196e+01
15	4.771182e+00	8.939354e+01
16	4.782862e+00	8.966823e+01
17	4.774596e+00	8.946722e+01
18	4.786123e+00	8.954173e+01
19	4.796025e+00	8.982928e+01
20	4.800569e+00	8.993868e+01
