RTO_iter	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	profit_eps	Fb_profit_lam	Tr_profit_lam	$residue
0								2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	
1	-1.792546e+02	-1.792546e+02	1.456398e-01	3.793878e-01	2.781069e-01	1.101474e-01	8.671814e-02	2.148751e+08	4.342628e+13	8.245552e+03	1.271015e+04	-3.574455e-03	1.167665e+00	3.536218e-02	9.230877e+00
2	-1.666403e+02	-1.663427e+02	1.562711e-01	4.194877e-01	2.563493e-01	1.083160e-01	5.957595e-02	2.148136e+08	4.346265e+13	8.254912e+03	1.272572e+04	-3.208492e-03	1.129423e+00	3.494618e-02	8.688388e+00
3	-1.744384e+02	-1.742168e+02	1.454428e-01	4.195541e-01	2.612072e-01	1.090074e-01	6.478847e-02	2.159846e+08	4.335974e+13	8.267930e+03	1.274264e+04	-2.050657e-03	7.658767e-01	2.397193e-02	4.073917e+00
4	-1.791767e+02	-1.790566e+02	1.375666e-01	4.201769e-01	2.643795e-01	1.093461e-01	6.853085e-02	2.174868e+08	4.318937e+13	8.299624e+03	1.279347e+04	-8.461498e-04	3.353151e-01	1.018655e-02	9.125694e-01
5	-1.838944e+02	-1.838477e+02	1.333414e-01	4.240434e-01	2.648605e-01	1.097681e-01	6.798662e-02	2.160180e+08	4.338249e+13	8.280076e+03	1.276141e+04	-1.745377e-03	7.089371e-01	2.302119e-02	3.548272e+00
6	-1.848142e+02	-1.847524e+02	1.255385e-01	4.188781e-01	2.699430e-01	1.096371e-01	7.600326e-02	2.117155e+08	4.389260e+13	8.273285e+03	1.276933e+04	-4.291765e-03	1.781004e+00	5.901680e-02	2.178959e+01
7	-1.877861e+02	-1.876914e+02	1.223348e-01	4.174798e-01	2.720075e-01	1.099166e-01	7.826136e-02	2.160455e+08	4.339594e+13	8.280033e+03	1.276370e+04	-1.601308e-03	6.758432e-01	2.255973e-02	3.256232e+00
8	-1.881671e+02	-1.881302e+02	1.192133e-01	4.169271e-01	2.734187e-01	1.098436e-01	8.059724e-02	2.151487e+08	4.348497e+13	8.304364e+03	1.280769e+04	-2.124498e-03	9.145453e-01	2.983082e-02	5.860983e+00
9	-1.895359e+02	-1.894907e+02	1.197684e-01	4.206833e-01	2.718164e-01	1.099963e-01	7.773552e-02	2.200234e+08	4.288195e+13	8.332823e+03	1.283406e+04	8.726844e-04	-3.725294e-01	-1.253803e-02	1.150814e+00
10	-1.893341e+02	-1.893577e+02	1.188330e-01	4.233070e-01	2.710601e-01	1.098952e-01	7.690461e-02	2.200419e+08	4.287419e+13	8.335682e+03	1.283891e+04	8.585946e-04	-3.722695e-01	-1.269624e-02	1.157084e+00
11	-1.904671e+02	-1.904853e+02	1.162602e-01	4.224206e-01	2.724840e-01	1.099454e-01	7.888981e-02	2.159440e+08	4.340387e+13	8.318303e+03	1.282639e+04	-1.514089e-03	6.800449e-01	2.276273e-02	3.353004e+00
12	-1.909599e+02	-1.909491e+02	1.135045e-01	4.190615e-01	2.749240e-01	1.099379e-01	8.257210e-02	2.169165e+08	4.327021e+13	8.338744e+03	1.285392e+04	-9.660014e-04	4.385831e-01	1.431049e-02	1.527045e+00
13	-1.903876e+02	-1.903784e+02	1.144379e-01	4.213670e-01	2.735757e-01	1.098721e-01	8.074738e-02	2.167698e+08	4.329169e+13	8.339368e+03	1.285524e+04	-1.034270e-03	4.704221e-01	1.554605e-02	1.729389e+00
14	-1.905632e+02	-1.905562e+02	1.132746e-01	4.202210e-01	2.744906e-01	1.098610e-01	8.215292e-02	2.187023e+08	4.304281e+13	8.338013e+03	1.284741e+04	5.479037e-05	-1.837927e-02	-1.029575e-03	2.152511e-01
15	-1.916355e+02	-1.916359e+02	1.115460e-01	4.187854e-01	2.758237e-01	1.099453e-01	8.389957e-02	2.199213e+08	4.287659e+13	8.348912e+03	1.285807e+04	7.483103e-04	-3.315687e-01	-1.175323e-02	9.881746e-01
16	-1.905899e+02	-1.905963e+02	1.115155e-01	4.200039e-01	2.752263e-01	1.097926e-01	8.346174e-02	2.209190e+08	4.273814e+13	8.354326e+03	1.286262e+04	1.309407e-03	-5.879743e-01	-2.056588e-02	2.621158e+00
17	-1.905815e+02	-1.905927e+02	1.108545e-01	4.202520e-01	2.753654e-01	1.097600e-01	8.376818e-02	2.146242e+08	4.360218e+13	8.312254e+03	1.282467e+04	-2.081464e-03	9.532051e-01	3.374488e-02	6.482526e+00
18	-1.928212e+02	-1.928379e+02	1.074050e-01	4.140996e-01	2.793866e-01	1.099855e-01	8.912322e-02	2.212977e+08	4.268067e+13	8.338133e+03	1.283582e+04	1.478240e-03	-6.645630e-01	-2.371904e-02	3.271203e+00
19	-1.905105e+02	-1.905184e+02	1.088273e-01	4.175814e-01	2.771975e-01	1.097012e-01	8.669273e-02	2.216129e+08	4.264155e+13	8.359451e+03	1.286744e+04	1.699680e-03	-7.706458e-01	-2.672690e-02	4.334405e+00
20	-1.902487e+02	-1.902623e+02	1.105420e-01	4.211913e-01	2.750596e-01	1.096912e-01	8.351593e-02	2.208796e+08	4.273874e+13	8.349965e+03	1.285509e+04	1.251317e-03	-5.674970e-01	-2.012845e-02	2.457521e+00
