RTO_iter	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	profit_eps	Fb_profit_lam	Tr_profit_lam	$residue
0								2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	
1	-1.792546e+02	-1.792546e+02	1.456398e-01	3.793878e-01	2.781069e-01	1.101474e-01	8.671814e-02	2.032369e+08	4.438096e+13	8.228741e+03	1.272333e+04	-3.421212e-03	1.116355e+00	3.382458e-02	3.396281e+01
2	-1.779063e+02	-1.773360e+02	1.410392e-01	4.176894e-01	2.639781e-01	1.093369e-01	6.795637e-02	2.063246e+08	4.431895e+13	8.258034e+03	1.276236e+04	-2.193617e-03	8.314989e-01	2.617949e-02	1.910979e+01
3	-1.852784e+02	-1.850387e+02	1.274151e-01	4.188791e-01	2.693030e-01	1.097758e-01	7.462698e-02	2.112542e+08	4.390376e+13	8.285433e+03	1.278985e+04	-1.182862e-03	4.869649e-01	1.571515e-02	6.705033e+00
4	-1.884160e+02	-1.883317e+02	1.199455e-01	4.194483e-01	2.721414e-01	1.098736e-01	7.859128e-02	2.161296e+08	4.335998e+13	8.318818e+03	1.282645e+04	-3.822578e-04	1.662046e-01	5.337399e-03	9.514363e-01
5	-1.904107e+02	-1.903909e+02	1.161124e-01	4.208281e-01	2.731866e-01	1.099535e-01	7.991930e-02	2.140387e+08	4.364085e+13	8.311711e+03	1.282177e+04	-6.480814e-04	2.882376e-01	9.702849e-03	2.505780e+00
6	-1.903049e+02	-1.902907e+02	1.124776e-01	4.183320e-01	2.755318e-01	1.098195e-01	8.383912e-02	2.051006e+08	4.468793e+13	8.299676e+03	1.283719e+04	-1.786361e-03	8.019846e-01	2.741967e-02	1.827562e+01
7	-1.913789e+02	-1.913706e+02	1.118040e-01	4.172512e-01	2.763335e-01	1.099445e-01	8.466674e-02	2.147382e+08	4.356933e+13	8.314843e+03	1.282537e+04	-5.308814e-04	2.388898e-01	8.223855e-03	1.791932e+00
8	-1.912042e+02	-1.911986e+02	1.103392e-01	4.168724e-01	2.770070e-01	1.098646e-01	8.591681e-02	2.128248e+08	4.379332e+13	8.326394e+03	1.285043e+04	-7.868727e-04	3.569249e-01	1.213324e-02	3.782444e+00
9	-1.913784e+02	-1.913720e+02	1.108828e-01	4.182400e-01	2.762640e-01	1.098914e-01	8.472181e-02	2.232021e+08	4.241886e+13	8.354155e+03	1.285395e+04	6.563155e-04	-2.953331e-01	-1.023139e-02	2.681155e+00
10	-1.907323e+02	-1.907435e+02	1.100166e-01	4.192319e-01	2.761067e-01	1.097577e-01	8.488714e-02	2.233514e+08	4.238822e+13	8.356948e+03	1.285794e+04	6.655443e-04	-3.023041e-01	-1.055917e-02	2.809225e+00
11	-1.909877e+02	-1.909940e+02	1.090119e-01	4.189109e-01	2.766325e-01	1.097520e-01	8.569262e-02	2.150086e+08	4.353291e+13	8.338418e+03	1.286066e+04	-4.741996e-04	2.191698e-01	7.571770e-03	1.576043e+00
12	-1.911950e+02	-1.911979e+02	1.087097e-01	4.173921e-01	2.773886e-01	1.097867e-01	8.672289e-02	2.168805e+08	4.328152e+13	8.349935e+03	1.287065e+04	-2.306966e-04	1.070600e-01	3.612188e-03	5.570870e-01
13	-1.906773e+02	-1.906772e+02	1.093632e-01	4.181100e-01	2.768013e-01	1.097382e-01	8.598741e-02	2.165903e+08	4.332139e+13	8.349404e+03	1.287089e+04	-2.685219e-04	1.241049e-01	4.231607e-03	6.684795e-01
14	-1.906708e+02	-1.906710e+02	1.091429e-01	4.175770e-01	2.771002e-01	1.097353e-01	8.644457e-02	2.203652e+08	4.280655e+13	8.351923e+03	1.286158e+04	2.410656e-04	-1.081186e-01	-3.919126e-03	5.637919e-01
15	-1.911944e+02	-1.911951e+02	1.083885e-01	4.172088e-01	2.775814e-01	1.097754e-01	8.704591e-02	2.225829e+08	4.248926e+13	8.359087e+03	1.286339e+04	5.490778e-04	-2.492432e-01	-8.848700e-03	1.997102e+00
16	-1.906277e+02	-1.906297e+02	1.083770e-01	4.179374e-01	2.772280e-01	1.096922e-01	8.676545e-02	2.244339e+08	4.221485e+13	8.363417e+03	1.286301e+04	8.075340e-04	-3.684914e-01	-1.302774e-02	4.082935e+00
17	-1.905957e+02	-1.905987e+02	1.080683e-01	4.182131e-01	2.772244e-01	1.096712e-01	8.682299e-02	2.119138e+08	4.394412e+13	8.327644e+03	1.285671e+04	-8.529975e-04	3.936130e-01	1.394837e-02	4.613040e+00
18	-1.918542e+02	-1.918671e+02	1.077080e-01	4.157958e-01	2.784789e-01	1.098506e-01	8.816673e-02	2.246651e+08	4.217661e+13	8.352349e+03	1.284525e+04	8.362857e-04	-3.796060e-01	-1.352692e-02	4.308758e+00
19	-1.906993e+02	-1.907032e+02	1.078287e-01	4.173841e-01	2.776634e-01	1.096856e-01	8.743824e-02	2.252246e+08	4.210411e+13	8.363635e+03	1.286035e+04	9.251828e-04	-4.232257e-01	-1.481849e-02	5.293872e+00
20	-1.905361e+02	-1.905416e+02	1.083516e-01	4.189336e-01	2.768185e-01	1.096657e-01	8.623050e-02	2.238556e+08	4.230007e+13	8.358024e+03	1.285671e+04	7.199582e-04	-3.298467e-01	-1.168537e-02	3.313490e+00
