RTO_iter	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	$residue	profit_eps	Fb_profit_lam	Tr_profit_lam
0								2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04		0.000000e+00	0.000000e+00	0.000000e+00
1	-1.677755e+02	-1.677755e+02	1.572621e-01	3.975347e-01	2.650576e-01	1.087204e-01	7.142516e-02	5.555545e+08	8.620000e+12	8.477845e+03	1.198368e+04	2.621738e+05	1.649501e+01	2.838973e+01	-2.083805e+00
2	-1.896974e+02	-1.896974e+02	1.358877e-01	3.826659e-01	2.815488e-01	1.112129e-01	8.868461e-02	4.989549e+08	8.620000e+12	8.454376e+03	1.201525e+04	1.710188e+05	1.384909e+01	2.360249e+01	-1.829909e+00
3	-1.965030e+02	-1.965030e+02	1.220584e-01	3.809578e-01	2.880699e-01	1.115955e-01	9.731837e-02	4.733737e+08	8.620000e+12	8.450251e+03	1.203862e+04	1.272521e+05	1.249541e+01	1.954281e+01	-1.809077e+00
4	-1.993170e+02	-1.993170e+02	1.119262e-01	3.842136e-01	2.907285e-01	1.114806e-01	1.016510e-01	4.378954e+08	8.620000e+12	8.435943e+03	1.205807e+04	1.024584e+05	1.197323e+01	1.760232e+01	-2.326184e+00
5	-2.006984e+02	-2.006984e+02	1.030033e-01	3.879184e-01	2.925957e-01	1.112055e-01	1.052771e-01	4.077170e+08	8.620000e+12	8.423437e+03	1.207682e+04	8.387002e+04	1.087226e+01	1.684356e+01	-1.612680e+00
6	-2.008829e+02	-2.008829e+02	1.010574e-01	3.882121e-01	2.932018e-01	1.111370e-01	1.063917e-01	4.038529e+08	8.620000e+12	8.422883e+03	1.208118e+04	7.873658e+04	9.812030e+00	2.242098e+01	-1.305694e+00
7	-2.006438e+02	-2.006438e+02	1.047256e-01	3.802919e-01	2.951088e-01	1.113948e-01	1.084789e-01	4.083020e+08	8.620000e+12	8.418531e+03	1.207185e+04	8.482600e+04	1.043140e+01	1.635559e+01	-1.454605e+00
8	-2.008697e+02	-2.008697e+02	1.023570e-01	3.853607e-01	2.939038e-01	1.112386e-01	1.071398e-01	4.025656e+08	8.620000e+12	8.418668e+03	1.207775e+04	8.042452e+04	1.031620e+01	1.931516e+01	-1.827697e+00
9	-2.008825e+02	-2.008825e+02	1.012076e-01	3.842247e-01	2.947918e-01	1.112059e-01	1.085700e-01	4.085625e+08	8.620000e+12	8.425203e+03	1.208002e+04	7.879893e+04	1.098821e+01	1.332573e+01	-2.330354e+00
10	-2.009084e+02	-2.009084e+02	9.474652e-02	3.922282e-01	2.938433e-01	1.107915e-01	1.083905e-01	3.970740e+08	8.620000e+12	8.427174e+03	1.209556e+04	6.675291e+04	1.007511e+01	1.275200e+01	-2.241040e+00
11	-2.007171e+02	-2.007171e+02	9.134345e-02	3.956091e-01	2.936670e-01	1.105601e-01	1.088204e-01	3.774298e+08	8.620000e+12	8.415328e+03	1.210436e+04	6.192574e+04	9.513428e+00	1.739184e+01	-1.741413e+00
12	-2.005994e+02	-2.005994e+02	9.415742e-02	3.897693e-01	2.950398e-01	1.107631e-01	1.102703e-01	3.922018e+08	8.620000e+12	8.422895e+03	1.209653e+04	6.575964e+04	9.965775e+00	1.737132e+01	-2.087141e+00
13	-2.007259e+02	-2.007259e+02	9.420553e-02	3.881572e-01	2.957003e-01	1.108067e-01	1.111302e-01	4.041111e+08	8.620000e+12	8.432915e+03	1.209618e+04	6.658221e+04	1.006458e+01	1.750941e+01	-1.999876e+00
14	-2.008074e+02	-2.008074e+02	9.454362e-02	3.871802e-01	2.959887e-01	1.108478e-01	1.114396e-01	4.001368e+08	8.620000e+12	8.428432e+03	1.209534e+04	6.566354e+04	9.630514e+00	1.455526e+01	-1.987460e+00
15	-2.008037e+02	-2.008037e+02	9.315697e-02	3.905260e-01	2.951127e-01	1.107324e-01	1.104719e-01	3.963932e+08	8.620000e+12	8.428301e+03	1.209900e+04	6.429614e+04	1.011284e+01	1.335364e+01	-2.143398e+00
16	-2.005723e+02	-2.005723e+02	9.112869e-02	3.937250e-01	2.945074e-01	1.105611e-01	1.100778e-01	3.843694e+08	8.620000e+12	8.421609e+03	1.210447e+04	6.034893e+04	9.902032e+00	1.193809e+01	-2.224734e+00
17	-2.004143e+02	-2.004143e+02	8.901029e-02	3.968192e-01	2.939860e-01	1.103972e-01	1.097874e-01	3.719123e+08	8.620000e+12	8.414260e+03	1.211047e+04	5.727695e+04	8.662203e+00	1.828552e+01	-1.340115e+00
18	-2.008578e+02	-2.008578e+02	9.491604e-02	3.879516e-01	2.955403e-01	1.108593e-01	1.107328e-01	3.871191e+08	8.620000e+12	8.416074e+03	1.209445e+04	6.629554e+04	1.020558e+01	1.087192e+01	-1.957343e+00
19	-2.007383e+02	-2.007383e+02	9.163973e-02	3.955832e-01	2.935721e-01	1.105766e-01	1.086284e-01	3.807526e+08	8.620000e+12	8.417961e+03	1.210352e+04	6.174834e+04	1.024443e+01	1.138336e+01	-2.302818e+00
20	-2.005962e+02	-2.005962e+02	8.872359e-02	3.985023e-01	2.934145e-01	1.103811e-01	1.089785e-01	3.725612e+08	8.620000e+12	8.415578e+03	1.211119e+04	5.668428e+04	1.020665e+01	1.155048e+01	-2.063796e+00
