RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.055443e+00	7.982048e+01
2	4.202311e+00	8.287896e+01
3	4.367084e+00	8.501536e+01
4	4.522163e+00	8.709550e+01
5	4.573779e+00	8.744104e+01
6	4.476181e+00	8.693532e+01
7	4.543181e+00	8.707797e+01
8	4.543406e+00	8.751786e+01
9	4.689126e+00	8.877920e+01
10	4.769777e+00	8.951937e+01
11	4.693024e+00	8.897004e+01
12	4.674246e+00	8.905752e+01
13	4.660170e+00	8.897002e+01
14	4.704280e+00	8.906431e+01
15	4.756198e+00	8.946793e+01
16	4.812961e+00	8.991421e+01
17	4.669961e+00	8.863172e+01
18	4.766849e+00	8.908144e+01
19	4.828853e+00	8.991237e+01
20	4.846978e+00	9.002635e+01
