RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.750345e+02	1.304593e-01	3.708545e-01	2.766341e-01	1.093983e-01	8.675611e-02
3	-1.833603e+02	1.175663e-01	3.692253e-01	2.843721e-01	1.100489e-01	9.641139e-02
4	-1.873530e+02	1.076943e-01	3.739384e-01	2.874489e-01	1.101042e-01	1.008607e-01
5	-1.897754e+02	9.886376e-02	3.782411e-01	2.900031e-01	1.099741e-01	1.050824e-01
6	-1.901199e+02	9.695984e-02	3.811268e-01	2.897067e-01	1.098944e-01	1.048768e-01
7	-1.894865e+02	1.002054e-01	3.750352e-01	2.907005e-01	1.100389e-01	1.059342e-01
8	-1.898300e+02	9.849737e-02	3.800713e-01	2.894081e-01	1.099404e-01	1.042908e-01
9	-1.900579e+02	9.734455e-02	3.782833e-01	2.907188e-01	1.099414e-01	1.062539e-01
10	-1.908238e+02	9.142849e-02	3.852555e-01	2.905998e-01	1.096773e-01	1.068679e-01
11	-1.909746e+02	8.820930e-02	3.889115e-01	2.905628e-01	1.094993e-01	1.073463e-01
12	-1.908565e+02	9.088209e-02	3.848267e-01	2.910352e-01	1.096621e-01	1.075666e-01
13	-1.908130e+02	9.099365e-02	3.829538e-01	2.917661e-01	1.096866e-01	1.085894e-01
14	-1.907687e+02	9.146258e-02	3.821431e-01	2.918862e-01	1.097133e-01	1.086894e-01
15	-1.908848e+02	9.045039e-02	3.853753e-01	2.910066e-01	1.096385e-01	1.075944e-01
16	-1.909670e+02	8.856306e-02	3.880165e-01	2.907749e-01	1.095267e-01	1.075824e-01
17	-1.909710e+02	8.653558e-02	3.908660e-01	2.905120e-01	1.093954e-01	1.075819e-01
18	-1.907635e+02	9.213879e-02	3.842716e-01	2.906795e-01	1.097153e-01	1.068732e-01
19	-1.909080e+02	8.933809e-02	3.903620e-01	2.894272e-01	1.095234e-01	1.055708e-01
20	-1.909579e+02	8.628370e-02	3.921377e-01	2.900929e-01	1.093650e-01	1.070444e-01
