RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.243339e+00	8.099570e+01
2	4.430892e+00	8.469469e+01
3	4.582276e+00	8.698768e+01
4	4.743499e+00	8.927967e+01
5	4.714740e+00	8.874860e+01
6	4.575223e+00	8.751657e+01
7	4.609191e+00	8.761072e+01
8	4.616511e+00	8.801714e+01
9	4.799721e+00	8.994378e+01
10	4.872186e+00	9.056149e+01
11	4.754735e+00	8.931125e+01
12	4.733023e+00	8.934763e+01
13	4.709290e+00	8.919999e+01
14	4.748008e+00	8.941109e+01
15	4.811541e+00	8.998020e+01
16	4.876362e+00	9.052836e+01
17	4.702512e+00	8.861812e+01
18	4.815575e+00	8.954273e+01
19	4.910305e+00	9.067495e+01
20	4.909019e+00	9.053512e+01
