RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.063681e+00	7.993560e+01
2	4.231721e+00	8.319781e+01
3	4.386676e+00	8.535699e+01
4	4.501757e+00	8.676285e+01
5	4.580717e+00	8.766075e+01
6	4.632842e+00	8.822636e+01
7	4.666490e+00	8.857980e+01
8	4.687909e+00	8.879978e+01
9	4.701419e+00	8.893643e+01
10	4.709892e+00	8.902126e+01
11	4.715186e+00	8.907391e+01
12	4.718485e+00	8.910658e+01
13	4.720537e+00	8.912685e+01
14	4.721813e+00	8.913943e+01
15	4.722606e+00	8.914724e+01
16	4.723099e+00	8.915208e+01
17	4.723404e+00	8.915509e+01
18	4.723594e+00	8.915695e+01
19	4.723712e+00	8.915811e+01
20	4.723785e+00	8.915883e+01
