RTO_iter	profit	XFr_A_unmodified	XFr_A	XFr_B_unmodified	XFr_B	XFr_E_unmodified	XFr_E	XFr_P_unmodified	XFr_P	XFr_G_unmodified	XFr_G	Ka1	Ka2	Kb1	Kb2	XFr_A_eps	Fb_XFr_A_lam	Tr_XFr_A_lam	XFr_B_eps	Fb_XFr_B_lam	Tr_XFr_B_lam	XFr_E_eps	Fb_XFr_E_lam	Tr_XFr_E_lam	XFr_P_eps	Fb_XFr_P_lam	Tr_XFr_P_lam	XFr_G_eps	Fb_XFr_G_lam	Tr_XFr_G_lam
0												2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	-1.792546e+02	1.456398e-01	1.456398e-01	3.793878e-01	3.793878e-01	2.781069e-01	2.781069e-01	1.101474e-01	1.101474e-01	8.671814e-02	8.671814e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.421395e-03	9.274210e-03	4.451969e-04	1.184780e-02	1.508860e-02	-8.641797e-05	-2.085280e-02	-1.162878e-02	1.063230e-03	-3.752846e-03	-4.774124e-03	9.492509e-04	-2.002067e-02	-3.120796e-03	-1.252908e-03
2	-1.775288e+02	1.145542e-01	1.211373e-01	3.670774e-01	3.823051e-01	2.940237e-01	2.767347e-01	1.083455e-01	1.092294e-01	1.159992e-01	8.741396e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	6.508105e-03	7.779280e-03	4.212247e-04	1.515863e-02	1.304855e-02	-1.012455e-04	-1.730106e-02	-1.053855e-02	1.044941e-03	1.076551e-03	-4.540221e-03	1.004278e-03	-2.918124e-02	-2.187158e-03	-1.445425e-03
3	-1.874823e+02	9.481548e-02	1.047488e-01	3.650189e-01	3.826436e-01	3.006438e-01	2.852611e-01	1.057219e-01	1.098744e-01	1.337998e-01	9.826860e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	9.828795e-03	6.452191e-03	3.637469e-04	1.749790e-02	1.117610e-02	-1.563074e-04	-1.533822e-02	-9.447826e-03	1.040109e-03	4.198881e-03	-4.407192e-03	1.008248e-03	-3.560397e-02	-9.501629e-04	-1.464581e-03
4	-1.900882e+02	8.449768e-02	9.602946e-02	3.659288e-01	3.846193e-01	3.029949e-01	2.886775e-01	1.039568e-01	1.098008e-01	1.426218e-01	1.036139e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.151955e-02	5.641243e-03	3.183260e-04	1.867157e-02	1.001605e-02	-2.021092e-04	-1.430404e-02	-8.749619e-03	1.040870e-03	5.859853e-03	-4.337058e-03	9.989200e-04	-3.903561e-02	-1.132536e-04	-1.435454e-03
5	-1.906950e+02	7.968626e-02	9.195725e-02	3.671142e-01	3.863037e-01	3.037325e-01	2.898956e-01	1.030659e-01	1.096711e-01	1.464010e-01	1.058300e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.229036e-02	5.229265e-03	2.931538e-04	1.921069e-02	9.423031e-03	-2.281584e-04	-1.384066e-02	-8.387531e-03	1.042624e-03	6.615113e-03	-4.303531e-03	9.919763e-04	-4.060633e-02	3.292971e-04	-1.411992e-03
6	-1.908654e+02	7.751615e-02	9.013685e-02	3.679733e-01	3.874209e-01	3.039377e-01	2.902839e-01	1.026668e-01	1.095943e-01	1.479060e-01	1.066428e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.263701e-02	5.032204e-03	2.809537e-04	1.946662e-02	9.138770e-03	-2.410677e-04	-1.365923e-02	-8.213132e-03	1.044043e-03	6.932949e-03	-4.288664e-03	9.885335e-04	-4.128769e-02	5.462933e-04	-1.399537e-03
7	-1.909248e+02	7.653428e-02	8.932064e-02	3.685070e-01	3.880892e-01	3.039797e-01	2.903880e-01	1.024953e-01	1.095553e-01	1.484837e-01	1.069160e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.279568e-02	4.938597e-03	2.752732e-04	1.959341e-02	9.003723e-03	-2.472117e-04	-1.359545e-02	-8.130252e-03	1.044970e-03	7.062630e-03	-4.282287e-03	9.870363e-04	-4.158107e-02	6.514820e-04	-1.393654e-03
8	-1.909481e+02	7.608307e-02	8.894824e-02	3.688175e-01	3.884695e-01	3.039775e-01	2.904039e-01	1.024222e-01	1.095360e-01	1.486997e-01	1.069979e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.286997e-02	4.893666e-03	2.726367e-04	1.965786e-02	8.938945e-03	-2.501253e-04	-1.357577e-02	-8.090558e-03	1.045524e-03	7.115006e-03	-4.279573e-03	9.864162e-04	-4.170868e-02	7.028826e-04	-1.390963e-03
9	-1.909578e+02	7.587174e-02	8.877484e-02	3.689919e-01	3.886800e-01	3.039672e-01	2.903972e-01	1.023908e-01	1.095264e-01	1.487784e-01	1.070166e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.290549e-02	4.871782e-03	2.713996e-04	1.969106e-02	8.907423e-03	-2.515205e-04	-1.357114e-02	-8.071283e-03	1.045840e-03	7.136151e-03	-4.278412e-03	9.861638e-04	-4.176516e-02	7.283124e-04	-1.389731e-03
