RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.629039e+00	8.088723e+01
2	4.936542e+00	8.474840e+01
3	5.080998e+00	8.712987e+01
4	5.132890e+00	8.838720e+01
5	5.153166e+00	8.908670e+01
6	5.161649e+00	8.948598e+01
7	5.165436e+00	8.971710e+01
8	5.167236e+00	8.985196e+01
9	5.168141e+00	8.993102e+01
10	5.168619e+00	8.997750e+01
11	5.168880e+00	9.000487e+01
12	5.169026e+00	9.002101e+01
13	5.169110e+00	9.003052e+01
14	5.169158e+00	9.003614e+01
15	5.169187e+00	9.003946e+01
16	5.169203e+00	9.004141e+01
17	5.169213e+00	9.004257e+01
18	5.169219e+00	9.004325e+01
19	5.169222e+00	9.004366e+01
20	5.169224e+00	9.004389e+01
