RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.197872e+00	8.045326e+01
2	4.300027e+00	8.324906e+01
3	4.484443e+00	8.562907e+01
4	4.983098e+00	9.281454e+01
5	4.753621e+00	8.891162e+01
6	4.286485e+00	8.459904e+01
7	4.314643e+00	8.401420e+01
8	4.275187e+00	8.474254e+01
9	5.037361e+00	9.237127e+01
10	5.387974e+00	9.618563e+01
11	4.881663e+00	9.040950e+01
12	4.726269e+00	8.985048e+01
13	4.600171e+00	8.897244e+01
14	4.731464e+00	8.965503e+01
15	5.020622e+00	9.250556e+01
16	5.359647e+00	9.577794e+01
17	4.753342e+00	8.856787e+01
18	5.165480e+00	9.153956e+01
19	5.528365e+00	9.576978e+01
20	5.452039e+00	9.446802e+01
