RTO_iter	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	$residue	profit_eps	Fb_profit_lam	Tr_profit_lam
0								2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04		0.000000e+00	0.000000e+00	0.000000e+00
1	-1.674832e+02	-1.674832e+02	1.572988e-01	3.976108e-01	2.649788e-01	1.086783e-01	7.143324e-02	1.094500e+09	8.620000e+12	8.714239e+03	1.198365e+04	6.530388e+08	1.638375e+01	2.822002e+01	-1.584502e+00
2	-1.956086e+02	-1.956086e+02	1.237238e-01	3.789273e-01	2.881990e-01	1.115742e-01	9.757576e-02	1.094500e+09	8.620000e+12	8.746442e+03	1.203522e+04	3.287152e+08	1.211801e+01	2.003499e+01	-1.195257e+00
3	-1.997795e+02	-1.997795e+02	1.064964e-01	3.863448e-01	2.918761e-01	1.112657e-01	1.040170e-01	1.094500e+09	8.620000e+12	8.773870e+03	1.206941e+04	2.240890e+08	1.045040e+01	1.723701e+01	-1.041108e+00
4	-2.003445e+02	-2.003445e+02	9.911514e-02	3.894405e-01	2.933453e-01	1.109594e-01	1.071396e-01	1.094500e+09	8.620000e+12	8.786920e+03	1.208555e+04	1.864041e+08	9.722298e+00	1.597841e+01	-9.882203e-01
5	-2.002895e+02	-2.002895e+02	9.570625e-02	3.907664e-01	2.940330e-01	1.107776e-01	1.087166e-01	1.094500e+09	8.620000e+12	8.793232e+03	1.209335e+04	1.703654e+08	9.382586e+00	1.537912e+01	-9.676389e-01
6	-2.001824e+02	-2.001824e+02	9.406722e-02	3.913725e-01	2.943684e-01	1.106804e-01	1.095115e-01	1.094500e+09	8.620000e+12	8.796335e+03	1.209718e+04	1.629550e+08	9.218496e+00	1.508656e+01	-9.587440e-01
7	-2.001095e+02	-2.001095e+02	9.326339e-02	3.916613e-01	2.945343e-01	1.106302e-01	1.099107e-01	1.094500e+09	8.620000e+12	8.797873e+03	1.209908e+04	1.593917e+08	9.137848e+00	1.494200e+01	-9.546357e-01
8	-2.000682e+02	-2.000682e+02	9.286530e-02	3.918022e-01	2.946168e-01	1.106048e-01	1.101109e-01	1.094500e+09	8.620000e+12	8.798639e+03	1.210003e+04	1.576441e+08	9.097866e+00	1.487014e+01	-9.526649e-01
9	-2.000464e+02	-2.000464e+02	9.266718e-02	3.918718e-01	2.946580e-01	1.105920e-01	1.102111e-01	1.094500e+09	8.620000e+12	8.799021e+03	1.210050e+04	1.567786e+08	9.077958e+00	1.483431e+01	-9.517001e-01
10	-2.000352e+02	-2.000352e+02	9.256835e-02	3.919063e-01	2.946786e-01	1.105855e-01	1.102613e-01	1.094500e+09	8.620000e+12	8.799212e+03	1.210073e+04	1.563479e+08	9.068024e+00	1.481642e+01	-9.512228e-01
11	-2.000296e+02	-2.000296e+02	9.251898e-02	3.919235e-01	2.946888e-01	1.105823e-01	1.102863e-01	1.094500e+09	8.620000e+12	8.799307e+03	1.210085e+04	1.561331e+08	9.063062e+00	1.480748e+01	-9.509854e-01
12	-2.000267e+02	-2.000267e+02	9.249431e-02	3.919321e-01	2.946940e-01	1.105807e-01	1.102989e-01	1.094500e+09	8.620000e+12	8.799355e+03	1.210091e+04	1.560257e+08	9.060582e+00	1.480302e+01	-9.508670e-01
13	-2.000253e+02	-2.000253e+02	9.248198e-02	3.919364e-01	2.946965e-01	1.105799e-01	1.103052e-01	1.094500e+09	8.620000e+12	8.799379e+03	1.210094e+04	1.559721e+08	9.059342e+00	1.480078e+01	-9.508079e-01
14	-2.000245e+02	-2.000245e+02	9.247581e-02	3.919386e-01	2.946978e-01	1.105795e-01	1.103083e-01	1.094500e+09	8.620000e+12	8.799391e+03	1.210095e+04	1.559453e+08	9.058722e+00	1.479966e+01	-9.507783e-01
15	-2.000242e+02	-2.000242e+02	9.247273e-02	3.919397e-01	2.946985e-01	1.105793e-01	1.103099e-01	1.094500e+09	8.620000e+12	8.799397e+03	1.210096e+04	1.559319e+08	9.058412e+00	1.479910e+01	-9.507636e-01
16	-2.000240e+02	-2.000240e+02	9.247118e-02	3.919402e-01	2.946988e-01	1.105792e-01	1.103107e-01	1.094500e+09	8.620000e+12	8.799400e+03	1.210097e+04	1.559252e+08	9.058257e+00	1.479883e+01	-9.507562e-01
17	-2.000239e+02	-2.000239e+02	9.247041e-02	3.919405e-01	2.946989e-01	1.105791e-01	1.103110e-01	1.094500e+09	8.620000e+12	8.799401e+03	1.210097e+04	1.559218e+08	9.058179e+00	1.479869e+01	-9.507525e-01
18	-2.000239e+02	-2.000239e+02	9.247003e-02	3.919406e-01	2.946990e-01	1.105791e-01	1.103112e-01	1.094500e+09	8.620000e+12	8.799402e+03	1.210097e+04	1.559202e+08	9.058140e+00	1.479862e+01	-9.507506e-01
19	-2.000238e+02	-2.000238e+02	9.246983e-02	3.919407e-01	2.946991e-01	1.105791e-01	1.103113e-01	1.094500e+09	8.620000e+12	8.799402e+03	1.210097e+04	1.559193e+08	9.058121e+00	1.479858e+01	-9.507497e-01
20	-2.000238e+02	-2.000238e+02	9.246974e-02	3.919407e-01	2.946991e-01	1.105791e-01	1.103114e-01	1.094500e+09	8.620000e+12	8.799403e+03	1.210097e+04	1.559189e+08	9.058111e+00	1.479856e+01	-9.507493e-01
