RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.862975e+02	1.092277e-01	3.790660e-01	2.844538e-01	1.099645e-01	9.678713e-02
3	-1.906516e+02	9.322899e-02	3.844510e-01	2.900893e-01	1.097486e-01	1.058882e-01
4	-1.909356e+02	8.956409e-02	3.874491e-01	2.905491e-01	1.095764e-01	1.070944e-01
5	-1.909604e+02	8.884285e-02	3.884852e-01	2.904487e-01	1.095324e-01	1.070758e-01
6	-1.909643e+02	8.867485e-02	3.887988e-01	2.903948e-01	1.095210e-01	1.070293e-01
7	-1.909652e+02	8.863045e-02	3.888899e-01	2.903771e-01	1.095178e-01	1.070122e-01
8	-1.909654e+02	8.861810e-02	3.889160e-01	2.903718e-01	1.095169e-01	1.070070e-01
9	-1.909655e+02	8.861460e-02	3.889235e-01	2.903703e-01	1.095167e-01	1.070054e-01
10	-1.909655e+02	8.861360e-02	3.889256e-01	2.903699e-01	1.095166e-01	1.070050e-01
11	-1.909655e+02	8.861332e-02	3.889262e-01	2.903697e-01	1.095166e-01	1.070049e-01
12	-1.909655e+02	8.861324e-02	3.889264e-01	2.903697e-01	1.095166e-01	1.070048e-01
13	-1.909655e+02	8.861322e-02	3.889265e-01	2.903697e-01	1.095166e-01	1.070048e-01
14	-1.909655e+02	8.861321e-02	3.889265e-01	2.903697e-01	1.095166e-01	1.070048e-01
15	-1.909655e+02	8.861321e-02	3.889265e-01	2.903697e-01	1.095166e-01	1.070048e-01
16	-1.909655e+02	8.861321e-02	3.889265e-01	2.903697e-01	1.095166e-01	1.070048e-01
17	-1.909655e+02	8.861321e-02	3.889265e-01	2.903697e-01	1.095166e-01	1.070048e-01
18	-1.909655e+02	8.861321e-02	3.889265e-01	2.903697e-01	1.095166e-01	1.070048e-01
19	-1.909655e+02	8.861321e-02	3.889265e-01	2.903697e-01	1.095166e-01	1.070048e-01
20	-1.909655e+02	8.861321e-02	3.889265e-01	2.903697e-01	1.095166e-01	1.070048e-01
