RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.728809e+02	1.277915e-01	3.849978e-01	2.716844e-01	1.088362e-01	8.101787e-02
3	-1.821459e+02	1.164032e-01	3.812265e-01	2.797152e-01	1.096867e-01	9.051286e-02
4	-1.866598e+02	1.080822e-01	3.802946e-01	2.845109e-01	1.099469e-01	9.692554e-02
5	-1.889906e+02	1.014481e-01	3.817849e-01	2.872274e-01	1.099411e-01	1.010178e-01
6	-1.901575e+02	9.644681e-02	3.836506e-01	2.888863e-01	1.098424e-01	1.038021e-01
7	-1.906979e+02	9.276811e-02	3.851607e-01	2.900086e-01	1.097239e-01	1.058411e-01
8	-1.909097e+02	9.007716e-02	3.862567e-01	2.908109e-01	1.096127e-01	1.073782e-01
9	-1.909579e+02	8.810972e-02	3.870244e-01	2.913990e-01	1.095179e-01	1.085448e-01
10	-1.909320e+02	8.667072e-02	3.875576e-01	2.918339e-01	1.094410e-01	1.094278e-01
11	-1.908783e+02	8.561801e-02	3.879288e-01	2.921560e-01	1.093806e-01	1.100921e-01
12	-1.908196e+02	8.484792e-02	3.881890e-01	2.923942e-01	1.093342e-01	1.105888e-01
13	-1.907660e+02	8.428469e-02	3.883728e-01	2.925700e-01	1.092989e-01	1.109582e-01
14	-1.907209e+02	8.387284e-02	3.885035e-01	2.926994e-01	1.092725e-01	1.112316e-01
15	-1.906847e+02	8.357176e-02	3.885971e-01	2.927944e-01	1.092528e-01	1.114334e-01
16	-1.906565e+02	8.335170e-02	3.886643e-01	2.928642e-01	1.092381e-01	1.115818e-01
17	-1.906350e+02	8.319089e-02	3.887129e-01	2.929153e-01	1.092274e-01	1.116908e-01
18	-1.906188e+02	8.307339e-02	3.887481e-01	2.929527e-01	1.092194e-01	1.117708e-01
19	-1.906066e+02	8.298755e-02	3.887737e-01	2.929801e-01	1.092136e-01	1.118293e-01
20	-1.905976e+02	8.292483e-02	3.887922e-01	2.930001e-01	1.092093e-01	1.118722e-01
