RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.157608e+00	8.021013e+01
2	4.333740e+00	8.352772e+01
3	4.473860e+00	8.570888e+01
4	4.573311e+00	8.715878e+01
5	4.640897e+00	8.812742e+01
6	4.686085e+00	8.877636e+01
7	4.716145e+00	8.921188e+01
8	4.736138e+00	8.950449e+01
9	4.749457e+00	8.970124e+01
10	4.758349e+00	8.983359e+01
11	4.764298e+00	8.992266e+01
12	4.768284e+00	8.998261e+01
13	4.770959e+00	9.002297e+01
14	4.772756e+00	9.005014e+01
15	4.773963e+00	9.006843e+01
16	4.774776e+00	9.008075e+01
17	4.775322e+00	9.008905e+01
18	4.775690e+00	9.009464e+01
19	4.775938e+00	9.009840e+01
20	4.776104e+00	9.010093e+01
