RTO_iter	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	$residue	profit_eps	Fb_profit_lam	Tr_profit_lam
0								2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04		0.000000e+00	0.000000e+00	0.000000e+00
1	-1.688042e+02	-1.688042e+02	1.572401e-01	3.974264e-01	2.652301e-01	1.088709e-01	7.123248e-02	2.218892e+08	4.287270e+13	8.157852e+03	1.254344e+04	6.587843e+04	1.734264e+01	2.857293e+01	-3.617043e+00
2	-1.889342e+02	-1.889342e+02	1.406329e-01	3.795394e-01	2.810077e-01	1.113457e-01	8.747436e-02	2.213662e+08	4.285152e+13	8.161340e+03	1.257359e+04	4.666848e+04	1.526921e+01	2.501065e+01	-3.383046e+00
3	-1.956118e+02	-1.956118e+02	1.284483e-01	3.764929e-01	2.874777e-01	1.118177e-01	9.576340e-02	2.212448e+08	4.282385e+13	8.170673e+03	1.259707e+04	3.612676e+04	1.421853e+01	2.003356e+01	-3.452389e+00
4	-1.991024e+02	-1.991024e+02	1.175386e-01	3.810698e-01	2.899577e-01	1.117514e-01	9.968250e-02	2.207897e+08	4.281903e+13	8.182756e+03	1.262056e+04	2.921711e+04	1.406886e+01	1.789487e+01	-4.453389e+00
5	-2.015187e+02	-2.015187e+02	1.058166e-01	3.862834e-01	2.923341e-01	1.114676e-01	1.040984e-01	2.203818e+08	4.283457e+13	8.197340e+03	1.264861e+04	2.289911e+04	1.244441e+01	1.743397e+01	-3.014071e+00
6	-2.017785e+02	-2.017785e+02	1.044181e-01	3.864067e-01	2.928192e-01	1.114364e-01	1.049195e-01	2.203661e+08	4.281635e+13	8.199179e+03	1.265229e+04	2.158262e+04	1.058898e+01	2.895310e+01	-2.407252e+00
7	-2.006070e+02	-2.006070e+02	1.126367e-01	3.710631e-01	2.960331e-01	1.118914e-01	1.083756e-01	2.204940e+08	4.281755e+13	8.182900e+03	1.263096e+04	2.534694e+04	1.189764e+01	1.706076e+01	-2.705494e+00
8	-2.013025e+02	-2.013025e+02	1.092041e-01	3.804484e-01	2.934864e-01	1.116842e-01	1.051770e-01	2.204084e+08	4.280863e+13	8.190817e+03	1.263977e+04	2.369808e+04	1.179314e+01	2.313547e+01	-3.423706e+00
9	-2.014219e+02	-2.014219e+02	1.080010e-01	3.776356e-01	2.950971e-01	1.116897e-01	1.075766e-01	2.205343e+08	4.279694e+13	8.191229e+03	1.264240e+04	2.339627e+04	1.322687e+01	1.156739e+01	-4.447168e+00
10	-2.021768e+02	-2.021768e+02	9.674513e-02	3.922710e-01	2.932302e-01	1.110458e-01	1.067079e-01	2.203369e+08	4.278747e+13	8.210715e+03	1.267173e+04	1.780839e+04	1.159443e+01	1.060817e+01	-4.295975e+00
11	-2.018650e+02	-2.018650e+02	9.063115e-02	3.987323e-01	2.927543e-01	1.106246e-01	1.072576e-01	2.200203e+08	4.280619e+13	8.221369e+03	1.268989e+04	1.562754e+04	1.049259e+01	1.999600e+01	-3.235977e+00
12	-2.016250e+02	-2.016250e+02	9.536700e-02	3.879009e-01	2.954770e-01	1.109802e-01	1.102749e-01	2.202535e+08	4.277164e+13	8.211055e+03	1.267511e+04	1.721755e+04	1.135462e+01	1.980063e+01	-3.975828e+00
13	-2.018678e+02	-2.018678e+02	9.545286e-02	3.846734e-01	2.968027e-01	1.110665e-01	1.120045e-01	2.204514e+08	4.278248e+13	8.209587e+03	1.267479e+04	1.763748e+04	1.158728e+01	2.006213e+01	-3.860172e+00
14	-2.019625e+02	-2.019625e+02	9.600887e-02	3.828469e-01	2.973642e-01	1.111331e-01	1.126470e-01	2.203871e+08	4.276153e+13	8.207955e+03	1.267318e+04	1.712635e+04	1.070123e+01	1.417496e+01	-3.813653e+00
15	-2.020821e+02	-2.020821e+02	9.344458e-02	3.893527e-01	2.956241e-01	1.109288e-01	1.106498e-01	2.203177e+08	4.279191e+13	8.213834e+03	1.268069e+04	1.650346e+04	1.167722e+01	1.181076e+01	-4.120708e+00
16	-2.016004e+02	-2.016004e+02	8.978544e-02	3.954650e-01	2.943829e-01	1.106039e-01	1.097627e-01	2.201210e+08	4.278892e+13	8.221451e+03	1.269178e+04	1.469940e+04	1.126883e+01	8.989923e+00	-4.249601e+00
17	-2.011025e+02	-2.011025e+02	8.590076e-02	4.015374e-01	2.932402e-01	1.102694e-01	1.090522e-01	2.199237e+08	4.280056e+13	8.229534e+03	1.270454e+04	1.334062e+04	8.764750e+00	2.185261e+01	-2.418756e+00
18	-2.020246e+02	-2.020246e+02	9.601968e-02	3.849494e-01	2.964992e-01	1.111085e-01	1.114232e-01	2.201597e+08	4.281046e+13	8.208304e+03	1.267337e+04	1.707607e+04	1.173455e+01	6.746839e+00	-3.687437e+00
19	-2.017915e+02	-2.017915e+02	9.027929e-02	3.996016e-01	2.925161e-01	1.105856e-01	1.070175e-01	2.200477e+08	4.277907e+13	8.222085e+03	1.269044e+04	1.517988e+04	1.189438e+01	7.753032e+00	-4.379207e+00
20	-2.013323e+02	-2.013323e+02	8.518677e-02	4.050352e-01	2.920799e-01	1.102108e-01	1.074874e-01	2.199259e+08	4.279278e+13	8.231191e+03	1.270627e+04	1.300820e+04	1.188978e+01	8.126626e+00	-3.889790e+00
