RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.626499e+02	1.275422e-01	4.072537e-01	2.612957e-01	1.072006e-01	7.034176e-02
3	-1.700588e+02	1.168643e-01	4.127009e-01	2.649358e-01	1.077322e-01	7.420694e-02
4	-1.746616e+02	1.106770e-01	4.143139e-01	2.676935e-01	1.080687e-01	7.733412e-02
5	-1.774877e+02	1.069675e-01	4.145822e-01	2.696349e-01	1.082774e-01	7.962001e-02
6	-1.792388e+02	1.046847e-01	4.144257e-01	2.709610e-01	1.084078e-01	8.121795e-02
7	-1.803492e+02	1.032409e-01	4.141734e-01	2.718625e-01	1.084913e-01	8.231975e-02
8	-1.810401e+02	1.023233e-01	4.139806e-01	2.724467e-01	1.085424e-01	8.304287e-02
9	-1.814750e+02	1.017548e-01	4.138147e-01	2.728286e-01	1.085753e-01	8.351693e-02
10	-1.817587e+02	1.013876e-01	4.136874e-01	2.730839e-01	1.085971e-01	8.383448e-02
11	-1.819197e+02	1.011728e-01	4.136207e-01	2.732294e-01	1.086091e-01	8.401676e-02
12	-1.820446e+02	1.010121e-01	4.135569e-01	2.733446e-01	1.086188e-01	8.416038e-02
13	-1.821158e+02	1.009573e-01	4.134600e-01	2.734183e-01	1.086267e-01	8.424735e-02
14	-1.821602e+02	1.008826e-01	4.134647e-01	2.734560e-01	1.086290e-01	8.429685e-02
15	-1.821994e+02	1.008143e-01	4.134722e-01	2.734889e-01	1.086310e-01	8.434046e-02
16	-1.822116e+02	1.007875e-01	4.134836e-01	2.734980e-01	1.086312e-01	8.435333e-02
17	-1.822315e+02	1.007772e-01	4.134481e-01	2.735198e-01	1.086337e-01	8.437847e-02
18	-1.822680e+02	1.007354e-01	4.134196e-01	2.735551e-01	1.086369e-01	8.442197e-02
19	-1.822513e+02	1.007480e-01	4.134434e-01	2.735375e-01	1.086350e-01	8.440119e-02
20	-1.822456e+02	1.007497e-01	4.134555e-01	2.735310e-01	1.086342e-01	8.439382e-02
