RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.743664e+02	1.214141e-01	3.949846e-01	2.706805e-01	1.086773e-01	7.998899e-02
3	-1.836073e+02	1.081847e-01	3.955901e-01	2.776885e-01	1.093526e-01	8.847481e-02
4	-1.876515e+02	1.004054e-01	3.951526e-01	2.819437e-01	1.095440e-01	9.428362e-02
5	-1.900830e+02	9.394521e-02	3.927398e-01	2.862147e-01	1.095973e-01	1.005301e-01
6	-1.904287e+02	9.232358e-02	3.925172e-01	2.870945e-01	1.095704e-01	1.019305e-01
7	-1.905477e+02	9.226314e-02	3.910030e-01	2.877709e-01	1.096032e-01	1.028469e-01
8	-1.905330e+02	9.177248e-02	3.923647e-01	2.874241e-01	1.095605e-01	1.024546e-01
9	-1.908287e+02	9.028710e-02	3.904395e-01	2.889490e-01	1.095559e-01	1.047559e-01
10	-1.909798e+02	8.761411e-02	3.897173e-01	2.904989e-01	1.094617e-01	1.073633e-01
11	-1.909414e+02	8.608432e-02	3.891357e-01	2.914422e-01	1.093940e-01	1.089812e-01
12	-1.909510e+02	8.672517e-02	3.882191e-01	2.915333e-01	1.094371e-01	1.089887e-01
13	-1.908678e+02	8.612862e-02	3.866822e-01	2.924435e-01	1.094195e-01	1.104066e-01
14	-1.908112e+02	8.589960e-02	3.858935e-01	2.928736e-01	1.094123e-01	1.110736e-01
15	-1.908424e+02	8.569534e-02	3.868909e-01	2.925522e-01	1.093935e-01	1.106477e-01
16	-1.908026e+02	8.513508e-02	3.871650e-01	2.926902e-01	1.093589e-01	1.109584e-01
17	-1.907518e+02	8.454340e-02	3.874549e-01	2.928347e-01	1.093213e-01	1.112881e-01
18	-1.909510e+02	8.679968e-02	3.880930e-01	2.915520e-01	1.094422e-01	1.090013e-01
19	-1.909682e+02	8.653445e-02	3.898236e-01	2.909496e-01	1.094090e-01	1.081974e-01
20	-1.908910e+02	8.528443e-02	3.891322e-01	2.918057e-01	1.093508e-01	1.096564e-01
