RTO_iter	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	profit_eps	Fb_profit_lam	Tr_profit_lam	$residue
0								2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	
1	-1.792546e+02	-1.792546e+02	1.456398e-01	3.793878e-01	2.781069e-01	1.101474e-01	8.671814e-02	1.373135e+08	2.151424e+13	8.077600e+03	1.243800e+04	-1.421690e-03	1.355731e+00	-3.333520e-02	5.088637e+01
2	-1.737299e+02	-1.734320e+02	1.402970e-01	4.157330e-01	2.645917e-01	1.087546e-01	7.062366e-02	1.312136e+08	1.975397e+13	8.077600e+03	1.243800e+04	-5.147244e-04	1.194162e+00	-3.876935e-02	5.502019e+01
3	-1.820759e+02	-1.819715e+02	1.267822e-01	4.167087e-01	2.700830e-01	1.093493e-01	7.707679e-02	1.262804e+08	1.847130e+13	8.077600e+03	1.243800e+04	7.825353e-04	7.805732e-01	-5.430901e-02	5.608205e+01
4	-1.856039e+02	-1.856230e+02	1.194378e-01	4.175374e-01	2.728164e-01	1.095080e-01	8.070045e-02	1.148198e+08	1.574797e+13	8.077600e+03	1.243800e+04	2.093192e-03	3.095419e-01	-6.825954e-02	6.631537e+01
5	-1.886031e+02	-1.887060e+02	1.164265e-01	4.207319e-01	2.729233e-01	1.097333e-01	8.018508e-02	1.234553e+08	1.766272e+13	8.077600e+03	1.243800e+04	9.520804e-04	7.381448e-01	-6.124835e-02	5.946644e+01
6	-1.888739e+02	-1.888722e+02	1.111349e-01	4.154924e-01	2.770418e-01	1.096159e-01	8.671493e-02	1.251363e+08	1.787638e+13	8.077600e+03	1.243800e+04	-1.891604e-03	1.901159e+00	-2.037641e-02	7.494037e+01
7	-1.908309e+02	-1.908508e+02	1.108531e-01	4.139044e-01	2.780003e-01	1.098791e-01	8.736322e-02	1.273514e+08	1.840481e+13	8.077600e+03	1.243800e+04	6.939814e-04	8.291526e-01	-5.977864e-02	5.670614e+01
8	-1.903692e+02	-1.903493e+02	1.096115e-01	4.141359e-01	2.783117e-01	1.097633e-01	8.817757e-02	1.181015e+08	1.638671e+13	8.077600e+03	1.243800e+04	1.549902e-04	1.094883e+00	-4.640510e-02	6.826069e+01
9	-1.903027e+02	-1.903247e+02	1.116190e-01	4.174569e-01	2.762054e-01	1.097947e-01	8.492400e-02	1.115320e+08	1.504926e+13	8.077600e+03	1.243800e+04	3.345278e-03	-2.169088e-01	-8.979809e-02	7.163458e+01
10	-1.895869e+02	-1.896667e+02	1.110165e-01	4.198533e-01	2.753676e-01	1.096444e-01	8.411822e-02	1.113323e+08	1.495324e+13	8.077600e+03	1.243800e+04	3.291094e-03	-2.039163e-01	-9.139143e-02	7.215755e+01
11	-1.905293e+02	-1.905724e+02	1.092329e-01	4.189573e-01	2.764855e-01	1.097020e-01	8.562220e-02	1.164710e+08	1.597475e+13	8.077600e+03	1.243800e+04	6.193789e-04	9.051162e-01	-5.623988e-02	6.844384e+01
12	-1.913034e+02	-1.913043e+02	1.080679e-01	4.155609e-01	2.783872e-01	1.097984e-01	8.818550e-02	1.108140e+08	1.487061e+13	8.077600e+03	1.243800e+04	1.179958e-03	6.787253e-01	-6.068563e-02	7.234610e+01
13	-1.901720e+02	-1.901914e+02	1.098152e-01	4.176507e-01	2.767726e-01	1.096987e-01	8.606286e-02	1.114060e+08	1.498032e+13	8.077600e+03	1.243800e+04	1.045737e-03	7.295086e-01	-5.997284e-02	7.213133e+01
14	-1.903807e+02	-1.903879e+02	1.093398e-01	4.165713e-01	2.774116e-01	1.097200e-01	8.695723e-02	1.138867e+08	1.541548e+13	8.077600e+03	1.243800e+04	2.134966e-03	2.710056e-01	-7.821234e-02	6.846182e+01
15	-1.915576e+02	-1.915490e+02	1.080828e-01	4.159323e-01	2.782552e-01	1.098266e-01	8.790301e-02	1.114149e+08	1.498453e+13	8.077600e+03	1.243800e+04	2.845173e-03	-2.194156e-02	-8.700002e-02	7.129491e+01
16	-1.903496e+02	-1.903597e+02	1.084314e-01	4.175651e-01	2.773325e-01	1.096639e-01	8.700706e-02	1.106267e+08	1.482096e+13	8.077600e+03	1.243800e+04	3.422446e-03	-2.656619e-01	-9.549403e-02	7.352318e+01
17	-1.903569e+02	-1.903713e+02	1.080284e-01	4.180904e-01	2.772649e-01	1.096406e-01	8.697570e-02	1.227958e+08	1.715511e+13	8.077600e+03	1.243800e+04	-4.620268e-04	1.337007e+00	-4.410724e-02	6.762478e+01
18	-1.933546e+02	-1.933504e+02	1.060670e-01	4.124920e-01	2.805916e-01	1.100190e-01	9.083031e-02	1.178023e+08	1.634067e+13	8.077600e+03	1.243800e+04	3.410198e-03	-2.651005e-01	-9.853763e-02	6.624420e+01
19	-1.901521e+02	-1.901508e+02	1.076583e-01	4.168426e-01	2.778921e-01	1.096156e-01	8.799137e-02	1.107284e+08	1.487546e+13	8.077600e+03	1.243800e+04	3.703148e-03	-3.812290e-01	-9.717548e-02	7.396690e+01
20	-1.898050e+02	-1.898525e+02	1.089918e-01	4.198980e-01	2.761130e-01	1.095862e-01	8.541102e-02	1.136099e+08	1.546852e+13	8.077600e+03	1.243800e+04	3.209639e-03	-1.805848e-01	-9.388544e-02	6.982594e+01
