RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.732945e+02	1.225337e-01	3.953223e-01	2.698866e-01	1.085729e-01	7.911127e-02
3	-1.822735e+02	1.098504e-01	3.966634e-01	2.763101e-01	1.092353e-01	8.675931e-02
4	-1.863290e+02	1.024944e-01	3.969699e-01	2.800645e-01	1.094418e-01	9.177121e-02
5	-1.892044e+02	9.623394e-02	3.949305e-01	2.841410e-01	1.095595e-01	9.753317e-02
6	-1.894386e+02	9.505504e-02	3.957492e-01	2.843685e-01	1.095251e-01	9.797740e-02
7	-1.894694e+02	9.528326e-02	3.950561e-01	2.845571e-01	1.095486e-01	9.818969e-02
8	-1.892739e+02	9.508293e-02	3.968187e-01	2.838890e-01	1.094911e-01	9.736030e-02
9	-1.899321e+02	9.362390e-02	3.948298e-01	2.854696e-01	1.095354e-01	9.959826e-02
10	-1.905469e+02	9.094539e-02	3.938805e-01	2.871709e-01	1.095040e-01	1.022445e-01
11	-1.907636e+02	8.948755e-02	3.934262e-01	2.880569e-01	1.094707e-01	1.036734e-01
12	-1.906951e+02	9.029141e-02	3.930621e-01	2.878319e-01	1.095038e-01	1.032364e-01
13	-1.908393e+02	8.969673e-02	3.915380e-01	2.887611e-01	1.095153e-01	1.045957e-01
14	-1.908794e+02	8.951307e-02	3.908892e-01	2.891223e-01	1.095207e-01	1.051214e-01
15	-1.908432e+02	8.940464e-02	3.920388e-01	2.886859e-01	1.094956e-01	1.045419e-01
16	-1.908755e+02	8.887705e-02	3.922565e-01	2.888410e-01	1.094725e-01	1.048439e-01
17	-1.909021e+02	8.831177e-02	3.925066e-01	2.889992e-01	1.094465e-01	1.051593e-01
18	-1.905810e+02	9.074597e-02	3.938210e-01	2.872915e-01	1.094999e-01	1.024375e-01
19	-1.904959e+02	9.052198e-02	3.952617e-01	2.867813e-01	1.094595e-01	1.017935e-01
20	-1.907544e+02	8.914371e-02	3.941514e-01	2.879102e-01	1.094439e-01	1.035335e-01
