RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.357703e+00	8.028809e+01
2	4.545203e+00	8.349692e+01
3	4.651760e+00	8.559326e+01
4	4.722591e+00	8.756924e+01
5	4.744387e+00	8.805874e+01
6	4.733201e+00	8.818084e+01
7	4.752163e+00	8.823725e+01
8	4.755994e+00	8.880503e+01
9	4.786352e+00	8.965890e+01
10	4.802329e+00	9.016699e+01
11	4.785463e+00	9.002750e+01
12	4.779904e+00	9.031361e+01
13	4.775984e+00	9.043714e+01
14	4.787728e+00	9.043510e+01
15	4.797742e+00	9.059112e+01
16	4.808408e+00	9.075663e+01
17	4.783571e+00	9.001025e+01
18	4.802275e+00	8.997792e+01
19	4.813266e+00	9.041120e+01
20	4.813719e+00	9.044196e+01
