RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.061627e+00	7.927432e+01
2	4.181396e+00	8.197969e+01
3	4.351338e+00	8.410570e+01
4	4.546649e+00	8.661125e+01
5	4.566501e+00	8.696952e+01
6	4.330230e+00	8.590852e+01
7	4.452366e+00	8.613597e+01
8	4.443706e+00	8.661891e+01
9	4.724141e+00	8.862274e+01
10	4.872298e+00	8.996844e+01
11	4.702405e+00	8.930043e+01
12	4.671657e+00	8.947078e+01
13	4.647490e+00	8.943369e+01
14	4.742922e+00	8.973257e+01
15	4.852781e+00	9.042318e+01
16	4.969355e+00	9.123260e+01
17	4.666698e+00	8.929014e+01
18	4.886103e+00	9.001264e+01
19	5.015602e+00	9.120635e+01
20	5.043317e+00	9.154432e+01
