RTO_iter	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	$residue	profit_eps	Fb_profit_lam	Tr_profit_lam
0								2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04		0.000000e+00	0.000000e+00	0.000000e+00
1	-1.688143e+02	-1.688143e+02	1.572393e-01	3.974245e-01	2.652324e-01	1.088724e-01	7.123151e-02	2.189000e+08	4.310000e+13	8.153122e+03	1.254529e+04	6.587901e+04	1.735279e+01	2.857409e+01	-3.631613e+00
2	-1.889370e+02	-1.889370e+02	1.406534e-01	3.795124e-01	2.810115e-01	1.113473e-01	8.747530e-02	2.189000e+08	4.310000e+13	8.157355e+03	1.257559e+04	4.668377e+04	1.527988e+01	2.501312e+01	-3.396485e+00
3	-1.956138e+02	-1.956138e+02	1.284718e-01	3.764670e-01	2.874800e-01	1.118194e-01	9.576177e-02	2.189000e+08	4.310000e+13	8.166850e+03	1.259930e+04	3.614138e+04	1.422981e+01	2.003685e+01	-3.466134e+00
4	-1.991053e+02	-1.991053e+02	1.175620e-01	3.810474e-01	2.899588e-01	1.117532e-01	9.967873e-02	2.189000e+08	4.310000e+13	8.179647e+03	1.262285e+04	2.922864e+04	1.407928e+01	1.789842e+01	-4.465636e+00
5	-2.015235e+02	-2.015235e+02	1.058399e-01	3.862626e-01	2.923347e-01	1.114696e-01	1.040932e-01	2.189000e+08	4.310000e+13	8.194874e+03	1.265078e+04	2.290714e+04	1.245390e+01	1.743751e+01	-3.024819e+00
6	-2.017846e+02	-2.017846e+02	1.044338e-01	3.863947e-01	2.928191e-01	1.114382e-01	1.049143e-01	2.189000e+08	4.310000e+13	8.196749e+03	1.265463e+04	2.158640e+04	1.059817e+01	2.895525e+01	-2.418257e+00
7	-2.006142e+02	-2.006142e+02	1.126410e-01	3.710617e-01	2.960330e-01	1.118926e-01	1.083717e-01	2.189000e+08	4.310000e+13	8.180285e+03	1.263331e+04	2.534651e+04	1.190595e+01	1.706218e+01	-2.716670e+00
8	-2.013097e+02	-2.013097e+02	1.092080e-01	3.804458e-01	2.934868e-01	1.116854e-01	1.051740e-01	2.189000e+08	4.310000e+13	8.188341e+03	1.264221e+04	2.369673e+04	1.180135e+01	2.313656e+01	-3.434787e+00
9	-2.014298e+02	-2.014298e+02	1.080041e-01	3.776325e-01	2.950981e-01	1.116909e-01	1.075744e-01	2.189000e+08	4.310000e+13	8.188545e+03	1.264494e+04	2.339446e+04	1.323549e+01	1.156845e+01	-4.459002e+00
10	-2.021851e+02	-2.021851e+02	9.675387e-02	3.922627e-01	2.932313e-01	1.110474e-01	1.067047e-01	2.189000e+08	4.310000e+13	8.208330e+03	1.267434e+04	1.780715e+04	1.160338e+01	1.060995e+01	-4.307511e+00
11	-2.018733e+02	-2.018733e+02	9.064040e-02	3.987240e-01	2.927552e-01	1.106262e-01	1.072542e-01	2.189000e+08	4.310000e+13	8.219497e+03	1.269236e+04	1.562492e+04	1.050061e+01	1.999746e+01	-3.246025e+00
12	-2.016333e+02	-2.016333e+02	9.537003e-02	3.878987e-01	2.954777e-01	1.109814e-01	1.102722e-01	2.189000e+08	4.310000e+13	8.208814e+03	1.267788e+04	1.721360e+04	1.136307e+01	1.980147e+01	-3.987333e+00
13	-2.018765e+02	-2.018765e+02	9.545425e-02	3.846717e-01	2.968038e-01	1.110677e-01	1.120025e-01	2.189000e+08	4.310000e+13	8.207021e+03	1.267748e+04	1.763298e+04	1.159601e+01	2.006278e+01	-3.872345e+00
14	-2.019711e+02	-2.019711e+02	9.600860e-02	3.828462e-01	2.973654e-01	1.111342e-01	1.126455e-01	2.189000e+08	4.310000e+13	8.205497e+03	1.267605e+04	1.712123e+04	1.070987e+01	1.417537e+01	-3.825898e+00
15	-2.020903e+02	-2.020903e+02	9.344493e-02	3.893514e-01	2.956254e-01	1.109299e-01	1.106484e-01	2.189000e+08	4.310000e+13	8.211488e+03	1.268330e+04	1.649799e+04	1.168540e+01	1.181117e+01	-4.132212e+00
16	-2.016083e+02	-2.016083e+02	8.978721e-02	3.954624e-01	2.943842e-01	1.106050e-01	1.097612e-01	2.189000e+08	4.310000e+13	8.219423e+03	1.269442e+04	1.469366e+04	1.127668e+01	8.990450e+00	-4.260416e+00
17	-2.011102e+02	-2.011102e+02	8.590355e-02	4.015342e-01	2.932413e-01	1.102705e-01	1.090504e-01	2.189000e+08	4.310000e+13	8.227827e+03	1.270708e+04	1.333428e+04	8.772083e+00	2.185309e+01	-2.428622e+00
18	-2.020318e+02	-2.020318e+02	9.601408e-02	3.849540e-01	2.965001e-01	1.111091e-01	1.114227e-01	2.189000e+08	4.310000e+13	8.206231e+03	1.267584e+04	1.706831e+04	1.174150e+01	6.746308e+00	-3.697848e+00
19	-2.017989e+02	-2.017989e+02	9.027766e-02	3.996020e-01	2.925173e-01	1.105864e-01	1.070167e-01	2.189000e+08	4.310000e+13	8.220187e+03	1.269317e+04	1.517276e+04	1.190185e+01	7.752936e+00	-4.389855e+00
20	-2.013399e+02	-2.013399e+02	8.518808e-02	4.050330e-01	2.920810e-01	1.102118e-01	1.074860e-01	2.189000e+08	4.310000e+13	8.229484e+03	1.270888e+04	1.300118e+04	1.189708e+01	8.126962e+00	-3.899807e+00
