RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.730391e+02	1.319458e-01	3.741623e-01	2.742964e-01	1.091386e-01	8.402901e-02
3	-1.813378e+02	1.206970e-01	3.715991e-01	2.816662e-01	1.098733e-01	9.287937e-02
4	-1.859688e+02	1.105665e-01	3.766196e-01	2.848234e-01	1.100101e-01	9.720465e-02
5	-1.894705e+02	9.965660e-02	3.822997e-01	2.878940e-01	1.099165e-01	1.020916e-01
6	-1.897952e+02	9.832892e-02	3.824611e-01	2.884765e-01	1.098966e-01	1.030248e-01
7	-1.879165e+02	1.060649e-01	3.668781e-01	2.912481e-01	1.101976e-01	1.062794e-01
8	-1.888387e+02	1.028233e-01	3.763799e-01	2.888491e-01	1.100537e-01	1.031126e-01
9	-1.891417e+02	1.017112e-01	3.736048e-01	2.905677e-01	1.100799e-01	1.056119e-01
10	-1.907948e+02	9.120948e-02	3.887109e-01	2.892461e-01	1.096172e-01	1.050176e-01
11	-1.908734e+02	8.545847e-02	3.953644e-01	2.891105e-01	1.092729e-01	1.058470e-01
12	-1.908834e+02	8.989547e-02	3.843078e-01	2.917104e-01	1.096270e-01	1.086845e-01
13	-1.907495e+02	9.000912e-02	3.811415e-01	2.929740e-01	1.096572e-01	1.104894e-01
14	-1.906385e+02	9.052911e-02	3.793014e-01	2.934961e-01	1.096912e-01	1.111706e-01
15	-1.909319e+02	8.813610e-02	3.859344e-01	2.918418e-01	1.095304e-01	1.091715e-01
16	-1.908961e+02	8.467276e-02	3.921238e-01	2.908326e-01	1.092831e-01	1.083997e-01
17	-1.905011e+02	8.099323e-02	3.982977e-01	2.898937e-01	1.089813e-01	1.078968e-01
18	-1.907647e+02	9.054610e-02	3.814330e-01	2.926061e-01	1.096800e-01	1.098690e-01
19	-1.908361e+02	8.513631e-02	3.962849e-01	2.888689e-01	1.092410e-01	1.055804e-01
20	-1.903097e+02	8.038629e-02	4.019624e-01	2.886186e-01	1.088806e-01	1.062862e-01
