RTO_iter	Fb	Tr
0	4.000000e+00	7.500000e+01
1	4.369783e+00	7.807545e+01
2	4.564010e+00	8.021419e+01
3	4.668225e+00	8.164211e+01
4	4.725959e+00	8.257854e+01
5	4.759046e+00	8.318997e+01
6	4.778677e+00	8.359206e+01
7	4.790967e+00	8.385296e+01
8	4.798130e+00	8.401819e+01
9	4.802529e+00	8.412606e+01
10	4.805121e+00	8.418812e+01
11	4.807011e+00	8.423631e+01
12	4.806927e+00	8.425704e+01
13	4.808055e+00	8.427654e+01
14	4.809155e+00	8.429455e+01
15	4.809671e+00	8.430113e+01
16	4.809521e+00	8.430637e+01
17	4.809940e+00	8.432016e+01
18	4.810033e+00	8.431606e+01
19	4.810083e+00	8.431454e+01
20	4.811234e+00	8.432295e+01
