RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.733684e+02	1.260480e-01	3.876169e-01	2.714663e-01	1.088064e-01	8.078016e-02
3	-1.823082e+02	1.145813e-01	3.854975e-01	2.787898e-01	1.095790e-01	8.944785e-02
4	-1.864871e+02	1.071526e-01	3.846463e-01	2.830922e-01	1.098271e-01	9.515704e-02
5	-1.895465e+02	9.773974e-02	3.883596e-01	2.862412e-01	1.097592e-01	1.000842e-01
6	-1.900075e+02	9.639625e-02	3.868794e-01	2.875355e-01	1.097776e-01	1.019704e-01
7	-1.899215e+02	9.789261e-02	3.816591e-01	2.890297e-01	1.099039e-01	1.038328e-01
8	-1.900355e+02	9.687987e-02	3.844476e-01	2.883375e-01	1.098357e-01	1.029992e-01
9	-1.902393e+02	9.629914e-02	3.806283e-01	2.902348e-01	1.098865e-01	1.056929e-01
10	-1.909394e+02	8.824390e-02	3.914427e-01	2.894808e-01	1.094624e-01	1.058340e-01
11	-1.908285e+02	8.406894e-02	3.956266e-01	2.896346e-01	1.091997e-01	1.068528e-01
12	-1.908950e+02	8.804242e-02	3.849366e-01	2.922998e-01	1.095347e-01	1.098457e-01
13	-1.908037e+02	8.762835e-02	3.834669e-01	2.930975e-01	1.095234e-01	1.110758e-01
14	-1.907319e+02	8.771321e-02	3.822663e-01	2.935549e-01	1.095341e-01	1.117301e-01
15	-1.908745e+02	8.630935e-02	3.865348e-01	2.924231e-01	1.094307e-01	1.103425e-01
16	-1.908068e+02	8.368950e-02	3.916386e-01	2.914780e-01	1.092329e-01	1.095182e-01
17	-1.905652e+02	8.135334e-02	3.954283e-01	2.909367e-01	1.090442e-01	1.092724e-01
18	-1.908642e+02	8.737261e-02	3.848690e-01	2.926327e-01	1.095007e-01	1.104470e-01
19	-1.908634e+02	8.436629e-02	3.946216e-01	2.899228e-01	1.092313e-01	1.071904e-01
20	-1.905703e+02	8.143050e-02	3.973818e-01	2.900838e-01	1.090223e-01	1.080589e-01
