RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	$residue
0							2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	
1	-1.792546e+02	1.456398e-01	3.793878e-01	2.781069e-01	1.101474e-01	8.671814e-02	1.094500e+09	8.620000e+12	8.714477e+03	1.198362e+04	6.542241e+04
2	-1.939376e+02	1.145448e-01	4.088836e-01	2.790398e-01	1.105139e-01	8.701785e-02	9.956571e+08	8.620000e+12	8.729383e+03	1.204668e+04	3.420024e+04
3	-1.960275e+02	1.007920e-01	4.198546e-01	2.797591e-01	1.100222e-01	8.957208e-02	8.656793e+08	8.620000e+12	8.705625e+03	1.208082e+04	2.289683e+04
4	-1.960553e+02	9.407463e-02	4.230277e-01	2.809057e-01	1.096833e-01	9.230870e-02	6.847245e+08	8.620000e+12	8.634643e+03	1.209906e+04	1.864126e+04
5	-1.960673e+02	9.130251e-02	4.232617e-01	2.818217e-01	1.095593e-01	9.405480e-02	5.996946e+08	8.620000e+12	8.592449e+03	1.210757e+04	1.716050e+04
6	-1.965407e+02	9.006553e-02	4.225617e-01	2.826075e-01	1.095729e-01	9.519242e-02	6.026842e+08	8.620000e+12	8.596737e+03	1.211166e+04	1.584766e+04
7	-1.970208e+02	8.917731e-02	4.219202e-01	2.832424e-01	1.096018e-01	9.605827e-02	4.752205e+08	8.620000e+12	8.511748e+03	1.211397e+04	1.531261e+04
8	-1.976011e+02	8.969148e-02	4.212880e-01	2.833722e-01	1.097049e-01	9.594344e-02	5.308438e+08	8.620000e+12	8.551125e+03	1.211301e+04	1.523571e+04
9	-1.976299e+02	8.931095e-02	4.208951e-01	2.836755e-01	1.096974e-01	9.642098e-02	6.113324e+08	8.620000e+12	8.602775e+03	1.211369e+04	1.554505e+04
10	-1.976153e+02	8.853843e-02	4.209241e-01	2.839437e-01	1.096609e-01	9.693297e-02	7.233659e+08	8.620000e+12	8.664813e+03	1.211489e+04	1.487042e+04
11	-1.974615e+02	8.741011e-02	4.211179e-01	2.842601e-01	1.095891e-01	9.762290e-02	6.131839e+08	8.620000e+12	8.606957e+03	1.211798e+04	1.487015e+04
12	-1.975881e+02	8.768014e-02	4.211830e-01	2.841471e-01	1.096155e-01	9.737418e-02	6.470918e+08	8.620000e+12	8.626682e+03	1.211753e+04	1.468419e+04
13	-1.970603e+02	8.749504e-02	4.210817e-01	2.842049e-01	1.095445e-01	9.767380e-02	7.629847e+08	8.620000e+12	8.686505e+03	1.211812e+04	1.504435e+04
14	-1.974526e+02	8.658996e-02	4.211429e-01	2.845478e-01	1.095512e-01	9.816816e-02	6.898560e+08	8.620000e+12	8.651324e+03	1.212029e+04	1.410724e+04
15	-1.976145e+02	8.667417e-02	4.212227e-01	2.845000e-01	1.095734e-01	9.802972e-02	7.180011e+08	8.620000e+12	8.665760e+03	1.212012e+04	1.433019e+04
16	-1.975741e+02	8.643893e-02	4.211585e-01	2.846082e-01	1.095590e-01	9.823534e-02	6.638003e+08	8.620000e+12	8.637868e+03	1.212076e+04	1.389755e+04
17	-1.974294e+02	8.674477e-02	4.211274e-01	2.844955e-01	1.095555e-01	9.807683e-02	6.122203e+08	8.620000e+12	8.608318e+03	1.212092e+04	1.408043e+04
18	-1.977411e+02	8.719747e-02	4.209750e-01	2.844236e-01	1.096158e-01	9.778808e-02	5.541806e+08	8.620000e+12	8.570828e+03	1.211907e+04	1.410811e+04
19	-1.977978e+02	8.780233e-02	4.207136e-01	2.843165e-01	1.096535e-01	9.751410e-02	6.460808e+08	8.620000e+12	8.625446e+03	1.211753e+04	1.450643e+04
20	-1.977351e+02	8.741754e-02	4.207340e-01	2.844421e-01	1.096285e-01	9.777786e-02	6.500329e+08	8.620000e+12	8.627876e+03	1.211846e+04	1.421908e+04
