RTO_iter	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	profit_eps	Fb_profit_lam	Tr_profit_lam
0								2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00
1	-1.792546e+02	-1.792546e+02	1.456398e-01	3.793878e-01	2.781069e-01	1.101474e-01	8.671814e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	2.779309e+01	3.979844e+01	-6.295576e+00
2	-1.733984e+02	-1.733563e+02	1.270598e-01	3.584868e-01	2.928290e-01	1.088096e-01	1.128147e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.873073e+00	3.454383e+01	-6.447238e+00
3	-1.654721e+02	-1.814339e+02	1.128423e-01	3.542780e-01	2.989060e-01	1.071926e-01	1.267811e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.720058e+01	2.940735e+01	-6.756119e+00
4	-1.595204e+02	-1.858776e+02	1.003972e-01	3.577928e-01	3.014417e-01	1.058972e-01	1.344711e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.638928e+01	2.795911e+01	-8.015955e+00
5	-1.474259e+02	-1.906318e+02	8.647083e-02	3.605992e-01	3.041997e-01	1.037846e-01	1.449457e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.220430e+01	2.747363e+01	-6.754500e+00
6	-1.496106e+02	-1.897241e+02	8.644882e-02	3.632099e-01	3.033849e-01	1.040605e-01	1.428960e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.177578e+01	3.991797e+01	-6.206614e+00
7	-1.521935e+02	-1.942555e+02	9.785467e-02	3.515526e-01	3.041135e-01	1.048455e-01	1.416337e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.634293e+01	2.700578e+01	-6.127517e+00
8	-1.556705e+02	-1.891034e+02	9.492352e-02	3.591963e-01	3.024926e-01	1.051757e-01	1.382118e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.333295e+01	3.427992e+01	-7.060698e+00
9	-1.511516e+02	-1.893725e+02	9.363885e-02	3.553073e-01	3.040566e-01	1.045438e-01	1.424535e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.663636e+01	2.206671e+01	-7.996229e+00
10	-1.429172e+02	-1.921063e+02	7.975412e-02	3.659678e-01	3.040772e-01	1.029575e-01	1.472433e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.764795e+01	2.180849e+01	-8.163203e+00
11	-1.360657e+02	-1.920070e+02	7.247012e-02	3.716196e-01	3.038348e-01	1.018384e-01	1.502371e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.538469e+01	3.142252e+01	-7.237496e+00
12	-1.408295e+02	-1.927581e+02	7.922281e-02	3.644875e-01	3.046559e-01	1.026750e-01	1.489588e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.935995e+01	3.118089e+01	-7.779778e+00
13	-1.386012e+02	-1.903121e+02	7.978298e-02	3.610658e-01	3.055901e-01	1.024120e-01	1.511492e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.157598e+01	3.094275e+01	-7.570005e+00
14	-1.392187e+02	-1.902191e+02	8.105385e-02	3.596650e-01	3.057408e-01	1.025354e-01	1.510050e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.191183e+01	2.507911e+01	-7.488848e+00
15	-1.404034e+02	-1.914505e+02	7.850458e-02	3.652423e-01	3.045774e-01	1.025952e-01	1.490805e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.992172e+01	2.345087e+01	-7.940159e+00
16	-1.369606e+02	-1.908829e+02	7.399215e-02	3.696248e-01	3.041554e-01	1.020027e-01	1.502249e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.345883e+01	2.088033e+01	-8.176101e+00
17	-1.325732e+02	-1.911108e+02	6.919789e-02	3.745133e-01	3.035518e-01	1.012953e-01	1.514417e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-6.002327e+01	3.382703e+01	-6.473619e+00
18	-1.446692e+02	-1.978298e+02	8.262247e-02	3.632688e-01	3.042729e-01	1.032868e-01	1.465490e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.538017e+01	1.874494e+01	-7.451114e+00
19	-1.433900e+02	-1.916066e+02	7.569265e-02	3.738904e-01	3.024553e-01	1.028607e-01	1.451009e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.647168e+01	2.061546e+01	-8.437447e+00
20	-1.330871e+02	-1.915125e+02	6.849450e-02	3.766729e-01	3.030013e-01	1.013353e-01	1.504960e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.674307e+01	2.032311e+01	-7.989628e+00
