RTO_iter	Tr	Fb
0	7.500000e+01	4.000000e+00
1	8.104641e+01	4.247753e+00
2	8.515012e+01	4.473312e+00
3	8.752796e+01	4.622261e+00
4	8.871119e+01	4.703998e+00
5	8.925366e+01	4.745489e+00
6	8.949485e+01	4.766040e+00
7	8.960149e+01	4.776178e+00
8	8.964891e+01	4.781191e+00
9	8.967022e+01	4.783681e+00
10	8.967992e+01	4.784922e+00
11	8.968440e+01	4.785544e+00
12	8.968649e+01	4.785856e+00
13	8.968748e+01	4.786013e+00
14	8.968796e+01	4.786093e+00
15	8.968819e+01	4.786133e+00
16	8.968830e+01	4.786153e+00
17	8.968836e+01	4.786163e+00
18	8.968838e+01	4.786169e+00
19	8.968840e+01	4.786171e+00
20	8.968840e+01	4.786172e+00
