RTO_iter	Tr	Fb
0	7.500000e+01	4.000000e+00
1	7.824541e+01	4.395270e+00
2	8.044827e+01	4.595570e+00
3	8.190305e+01	4.701316e+00
4	8.285029e+01	4.759045e+00
5	8.346178e+01	4.791503e+00
6	8.385429e+01	4.810230e+00
7	8.410527e+01	4.821274e+00
8	8.426532e+01	4.827906e+00
9	8.436719e+01	4.831945e+00
10	8.443195e+01	4.834432e+00
11	8.447308e+01	4.835976e+00
12	8.449918e+01	4.836941e+00
13	8.451574e+01	4.837546e+00
14	8.452624e+01	4.837926e+00
15	8.453290e+01	4.838166e+00
16	8.453712e+01	4.838318e+00
17	8.453980e+01	4.838414e+00
18	8.454149e+01	4.838474e+00
19	8.454257e+01	4.838513e+00
20	8.454325e+01	4.838537e+00
