RTO_iter	Tr	Fb
0	7.500000e+01	4.000000e+00
1	8.039890e+01	4.362054e+00
2	8.374635e+01	4.554739e+00
3	8.591056e+01	4.659261e+00
4	8.733919e+01	4.716584e+00
5	8.829350e+01	4.748363e+00
6	8.893549e+01	4.766202e+00
7	8.936925e+01	4.776367e+00
8	8.966306e+01	4.782258e+00
9	8.986240e+01	4.785736e+00
10	8.999777e+01	4.787830e+00
11	9.008974e+01	4.789116e+00
12	9.015225e+01	4.789919e+00
13	9.019473e+01	4.790429e+00
14	9.022362e+01	4.790758e+00
15	9.024325e+01	4.790973e+00
16	9.025660e+01	4.791114e+00
17	9.026568e+01	4.791208e+00
18	9.027185e+01	4.791270e+00
19	9.027604e+01	4.791312e+00
20	9.027889e+01	4.791341e+00
