RTO_iter	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	$residue	profit_eps	Tr_profit_lam	Fb_profit_lam
0								2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04		0.000000e+00	0.000000e+00	0.000000e+00
1	-1.685392e+02	-1.685392e+02	1.572280e-01	3.974279e-01	2.652030e-01	1.088317e-01	7.130937e-02	3.283500e+08	2.155001e+13	8.294304e+03	1.230344e+04	6.559313e+04	1.743976e+01	-3.110001e+00	2.832627e+01
2	-1.894036e+02	-1.894036e+02	1.378057e-01	3.812500e-01	2.813946e-01	1.112711e-01	8.827869e-02	3.283500e+08	2.155001e+13	8.303969e+03	1.233573e+04	4.445800e+04	1.481764e+01	-2.944754e+00	2.317444e+01
3	-1.967751e+02	-1.967751e+02	1.231579e-01	3.804372e-01	2.879136e-01	1.116896e-01	9.680169e-02	3.283499e+08	2.155001e+13	8.318285e+03	1.236342e+04	3.285287e+04	1.326739e+01	-2.873516e+00	2.020331e+01
4	-1.997998e+02	-1.997998e+02	1.131055e-01	3.829335e-01	2.908794e-01	1.116187e-01	1.014630e-01	3.283499e+08	2.155001e+13	8.330647e+03	1.238452e+04	2.632840e+04	1.228492e+01	-2.836451e+00	1.841010e+01
5	-2.010256e+02	-2.010256e+02	1.063724e-01	3.854813e-01	2.924103e-01	1.114397e-01	1.042964e-01	3.283499e+08	2.155001e+13	8.339936e+03	1.239972e+04	2.249333e+04	1.164291e+01	-2.816539e+00	1.726210e+01
6	-2.014709e+02	-2.014709e+02	1.018556e-01	3.874462e-01	2.932894e-01	1.112627e-01	1.061461e-01	3.283499e+08	2.155001e+13	8.346596e+03	1.241044e+04	2.013667e+04	1.121510e+01	-2.805880e+00	1.650031e+01
7	-2.015861e+02	-2.015861e+02	9.880099e-02	3.888449e-01	2.938350e-01	1.111167e-01	1.074024e-01	3.283499e+08	2.155001e+13	8.351289e+03	1.241795e+04	1.863529e+04	1.092597e+01	-2.800199e+00	1.598431e+01
8	-2.015723e+02	-2.015723e+02	9.671787e-02	3.898136e-01	2.941913e-01	1.110048e-01	1.082724e-01	3.283499e+08	2.155001e+13	8.354574e+03	1.242320e+04	1.765248e+04	1.072855e+01	-2.797167e+00	1.563051e+01
9	-2.015168e+02	-2.015168e+02	9.528721e-02	3.904791e-01	2.944311e-01	1.109220e-01	1.088806e-01	3.283499e+08	2.155001e+13	8.356868e+03	1.242686e+04	1.699628e+04	1.059274e+01	-2.795537e+00	1.538610e+01
10	-2.014557e+02	-2.014557e+02	9.429925e-02	3.909361e-01	2.945955e-01	1.108620e-01	1.093072e-01	3.283499e+08	2.155001e+13	8.358471e+03	1.242941e+04	1.655190e+04	1.049880e+01	-2.794649e+00	1.521644e+01
11	-2.014020e+02	-2.014020e+02	9.361419e-02	3.912507e-01	2.947092e-01	1.108190e-01	1.096069e-01	3.283499e+08	2.155001e+13	8.359590e+03	1.243120e+04	1.624791e+04	1.043358e+01	-2.794155e+00	1.509831e+01
12	-2.013591e+02	-2.013591e+02	9.313773e-02	3.914681e-01	2.947884e-01	1.107883e-01	1.098175e-01	3.283499e+08	2.155001e+13	8.360373e+03	1.243245e+04	1.603846e+04	1.038817e+01	-2.793874e+00	1.501588e+01
13	-2.013264e+02	-2.013264e+02	9.280562e-02	3.916187e-01	2.948436e-01	1.107667e-01	1.099654e-01	3.283499e+08	2.155001e+13	8.360921e+03	1.243333e+04	1.589343e+04	1.035649e+01	-2.793710e+00	1.495828e+01
14	-2.013023e+02	-2.013023e+02	9.257378e-02	3.917234e-01	2.948823e-01	1.107514e-01	1.100692e-01	3.283499e+08	2.155001e+13	8.361304e+03	1.243394e+04	1.579265e+04	1.033436e+01	-2.793612e+00	1.491800e+01
15	-2.012847e+02	-2.012847e+02	9.241174e-02	3.917963e-01	2.949093e-01	1.107406e-01	1.101421e-01	3.283499e+08	2.155001e+13	8.361572e+03	1.243437e+04	1.572243e+04	1.031889e+01	-2.793550e+00	1.488981e+01
16	-2.012721e+02	-2.012721e+02	9.229839e-02	3.918471e-01	2.949283e-01	1.107331e-01	1.101932e-01	3.283499e+08	2.155001e+13	8.361760e+03	1.243467e+04	1.567343e+04	1.030807e+01	-2.793512e+00	1.487007e+01
17	-2.012631e+02	-2.012631e+02	9.221907e-02	3.918826e-01	2.949415e-01	1.107277e-01	1.102290e-01	3.283499e+08	2.155001e+13	8.361891e+03	1.243488e+04	1.563919e+04	1.030049e+01	-2.793486e+00	1.485625e+01
18	-2.012567e+02	-2.012567e+02	9.216353e-02	3.919074e-01	2.949508e-01	1.107240e-01	1.102542e-01	3.283499e+08	2.155001e+13	8.361983e+03	1.243502e+04	1.561524e+04	1.029518e+01	-2.793470e+00	1.484657e+01
19	-2.012522e+02	-2.012522e+02	9.212464e-02	3.919248e-01	2.949573e-01	1.107214e-01	1.102718e-01	3.283499e+08	2.155001e+13	8.362048e+03	1.243513e+04	1.559848e+04	1.029147e+01	-2.793459e+00	1.483979e+01
20	-2.012491e+02	-2.012491e+02	9.209739e-02	3.919370e-01	2.949619e-01	1.107196e-01	1.102842e-01	3.283499e+08	2.155001e+13	8.362093e+03	1.243520e+04	1.558675e+04	1.028886e+01	-2.793451e+00	1.483503e+01
