RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.626476e+02	1.275213e-01	4.072944e-01	2.612884e-01	1.071991e-01	7.033513e-02
3	-1.700385e+02	1.168944e-01	4.126871e-01	2.649250e-01	1.077309e-01	7.419489e-02
4	-1.746414e+02	1.107013e-01	4.143141e-01	2.676798e-01	1.080671e-01	7.731846e-02
5	-1.774835e+02	1.069633e-01	4.145982e-01	2.696296e-01	1.082765e-01	7.961488e-02
6	-1.792451e+02	1.046615e-01	4.144494e-01	2.709626e-01	1.084074e-01	8.122178e-02
7	-1.803454e+02	1.032265e-01	4.142062e-01	2.718551e-01	1.084898e-01	8.231318e-02
8	-1.810378e+02	1.023248e-01	4.139838e-01	2.724444e-01	1.085421e-01	8.304023e-02
9	-1.814760e+02	1.017553e-01	4.138113e-01	2.728299e-01	1.085755e-01	8.351827e-02
10	-1.817544e+02	1.013944e-01	4.136874e-01	2.730802e-01	1.085969e-01	8.382976e-02
11	-1.819317e+02	1.011652e-01	4.136020e-01	2.732421e-01	1.086105e-01	8.403147e-02
12	-1.820448e+02	1.010194e-01	4.135446e-01	2.733463e-01	1.086193e-01	8.416151e-02
13	-1.821169e+02	1.009265e-01	4.135067e-01	2.734132e-01	1.086249e-01	8.424510e-02
14	-1.821630e+02	1.008673e-01	4.134820e-01	2.734562e-01	1.086285e-01	8.429871e-02
15	-1.821924e+02	1.008296e-01	4.134659e-01	2.734837e-01	1.086308e-01	8.433304e-02
16	-1.822112e+02	1.008055e-01	4.134556e-01	2.735012e-01	1.086323e-01	8.435501e-02
17	-1.822232e+02	1.007902e-01	4.134489e-01	2.735125e-01	1.086332e-01	8.436905e-02
18	-1.822309e+02	1.007804e-01	4.134446e-01	2.735197e-01	1.086338e-01	8.437802e-02
19	-1.822358e+02	1.007741e-01	4.134419e-01	2.735243e-01	1.086342e-01	8.438375e-02
20	-1.822389e+02	1.007701e-01	4.134401e-01	2.735272e-01	1.086345e-01	8.438741e-02
