RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.572521e+02	1.435481e-01	3.869816e-01	2.614715e-01	1.071937e-01	7.062621e-02
3	-1.623455e+02	1.401529e-01	3.835420e-01	2.651572e-01	1.078330e-01	7.423687e-02
4	-1.665836e+02	1.368874e-01	3.808029e-01	2.683777e-01	1.083433e-01	7.753675e-02
5	-1.701279e+02	1.337614e-01	3.786613e-01	2.711914e-01	1.087494e-01	8.053881e-02
6	-1.731066e+02	1.307820e-01	3.770249e-01	2.736496e-01	1.090716e-01	8.325970e-02
7	-1.756212e+02	1.279539e-01	3.758127e-01	2.757973e-01	1.093259e-01	8.571828e-02
8	-1.777527e+02	1.252795e-01	3.749538e-01	2.776737e-01	1.095254e-01	8.793440e-02
9	-1.795659e+02	1.227588e-01	3.743871e-01	2.793132e-01	1.096806e-01	8.992805e-02
10	-1.811133e+02	1.203898e-01	3.740600e-01	2.807458e-01	1.098000e-01	9.171882e-02
11	-1.824374e+02	1.181693e-01	3.739278e-01	2.819976e-01	1.098903e-01	9.332541e-02
12	-1.835730e+02	1.160927e-01	3.739525e-01	2.830914e-01	1.099572e-01	9.476543e-02
13	-1.845487e+02	1.141545e-01	3.741022e-01	2.840474e-01	1.100052e-01	9.605529e-02
14	-1.853886e+02	1.123485e-01	3.743499e-01	2.848828e-01	1.100380e-01	9.721008e-02
15	-1.861125e+02	1.106682e-01	3.746733e-01	2.856130e-01	1.100586e-01	9.824362e-02
16	-1.867373e+02	1.091068e-01	3.750536e-01	2.862513e-01	1.100695e-01	9.916847e-02
17	-1.872771e+02	1.076574e-01	3.754753e-01	2.868093e-01	1.100727e-01	9.999604e-02
18	-1.877438e+02	1.063133e-01	3.759259e-01	2.872972e-01	1.100698e-01	1.007366e-01
19	-1.881479e+02	1.050678e-01	3.763947e-01	2.877238e-01	1.100621e-01	1.013993e-01
20	-1.884979e+02	1.039143e-01	3.768733e-01	2.880970e-01	1.100509e-01	1.019926e-01
