RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	$residue
0							2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	
1	-1.792546e+02	1.456398e-01	3.793878e-01	2.781069e-01	1.101474e-01	8.671814e-02	3.283500e+08	2.155000e+13	8.294304e+03	1.230344e+04	6.559364e+08
2	-1.719150e+02	1.508412e-01	3.995388e-01	2.670994e-01	1.090642e-01	7.345639e-02	3.283500e+08	2.155000e+13	8.300149e+03	1.231290e+04	6.020446e+08
3	-1.743719e+02	1.460721e-01	4.026750e-01	2.678631e-01	1.092024e-01	7.418735e-02	3.283500e+08	2.155000e+13	8.305439e+03	1.232155e+04	5.559933e+08
4	-1.765667e+02	1.418135e-01	4.053482e-01	2.685908e-01	1.093194e-01	7.492817e-02	3.283500e+08	2.155000e+13	8.310238e+03	1.232945e+04	5.164057e+08
5	-1.785298e+02	1.379984e-01	4.076292e-01	2.692839e-01	1.094186e-01	7.566987e-02	3.283500e+08	2.155000e+13	8.314602e+03	1.233668e+04	4.821874e+08
6	-1.802877e+02	1.345711e-01	4.095767e-01	2.699435e-01	1.095033e-01	7.640542e-02	3.283500e+08	2.155000e+13	8.318576e+03	1.234332e+04	4.524606e+08
7	-1.818635e+02	1.314845e-01	4.112399e-01	2.705707e-01	1.095755e-01	7.712939e-02	3.283500e+08	2.155000e+13	8.322201e+03	1.234941e+04	4.265153e+08
8	-1.832775e+02	1.286984e-01	4.126597e-01	2.711667e-01	1.096375e-01	7.783761e-02	3.283500e+08	2.155000e+13	8.325512e+03	1.235500e+04	4.037733e+08
9	-1.845478e+02	1.261786e-01	4.138710e-01	2.717327e-01	1.096907e-01	7.852689e-02	3.283500e+08	2.155000e+13	8.328538e+03	1.236014e+04	3.837598e+08
10	-1.856901e+02	1.238955e-01	4.149032e-01	2.722698e-01	1.097366e-01	7.919488e-02	3.283500e+08	2.155000e+13	8.331306e+03	1.236486e+04	3.660828e+08
11	-1.867185e+02	1.218235e-01	4.157813e-01	2.727791e-01	1.097763e-01	7.983988e-02	3.283500e+08	2.155000e+13	8.333841e+03	1.236921e+04	3.504165e+08
12	-1.876453e+02	1.199403e-01	4.165266e-01	2.732617e-01	1.098106e-01	8.046073e-02	3.283500e+08	2.155000e+13	8.336162e+03	1.237321e+04	3.364885e+08
13	-1.884816e+02	1.182264e-01	4.171577e-01	2.737188e-01	1.098405e-01	8.105668e-02	3.283500e+08	2.155000e+13	8.338290e+03	1.237689e+04	3.240698e+08
14	-1.892370e+02	1.166647e-01	4.176901e-01	2.741514e-01	1.098666e-01	8.162733e-02	3.283500e+08	2.155000e+13	8.340240e+03	1.238029e+04	3.129670e+08
15	-1.899202e+02	1.152400e-01	4.181375e-01	2.745605e-01	1.098894e-01	8.217259e-02	3.283500e+08	2.155000e+13	8.342029e+03	1.238341e+04	3.030158e+08
16	-1.905388e+02	1.139392e-01	4.185116e-01	2.749472e-01	1.099094e-01	8.269256e-02	3.283500e+08	2.155000e+13	8.343670e+03	1.238629e+04	2.940761e+08
17	-1.910995e+02	1.127502e-01	4.188225e-01	2.753126e-01	1.099271e-01	8.318755e-02	3.283500e+08	2.155000e+13	8.345176e+03	1.238895e+04	2.860279e+08
18	-1.916084e+02	1.116626e-01	4.190791e-01	2.756575e-01	1.099428e-01	8.365800e-02	3.283500e+08	2.155000e+13	8.346559e+03	1.239139e+04	2.787678e+08
19	-1.920707e+02	1.106670e-01	4.192888e-01	2.759830e-01	1.099567e-01	8.410448e-02	3.283500e+08	2.155000e+13	8.347827e+03	1.239365e+04	2.722065e+08
20	-1.924913e+02	1.097548e-01	4.194585e-01	2.762900e-01	1.099691e-01	8.452762e-02	3.283500e+08	2.155000e+13	8.348992e+03	1.239573e+04	2.662668e+08
