RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.872113e+02	1.021083e-01	3.936404e-01	2.817390e-01	1.095825e-01	9.386090e-02
3	-1.906521e+02	9.182128e-02	3.903468e-01	2.882616e-01	1.096051e-01	1.035772e-01
4	-1.909762e+02	8.808096e-02	3.892012e-01	2.905004e-01	1.094897e-01	1.072815e-01
5	-1.909554e+02	8.669341e-02	3.884943e-01	2.914329e-01	1.094325e-01	1.088518e-01
6	-1.909232e+02	8.614641e-02	3.882171e-01	2.917971e-01	1.094069e-01	1.094751e-01
7	-1.909065e+02	8.592963e-02	3.881028e-01	2.919429e-01	1.093963e-01	1.097255e-01
8	-1.908992e+02	8.584312e-02	3.880570e-01	2.920011e-01	1.093920e-01	1.098257e-01
9	-1.908962e+02	8.580855e-02	3.880386e-01	2.920244e-01	1.093902e-01	1.098658e-01
10	-1.908950e+02	8.579473e-02	3.880313e-01	2.920337e-01	1.093896e-01	1.098818e-01
11	-1.908945e+02	8.578919e-02	3.880283e-01	2.920374e-01	1.093893e-01	1.098883e-01
12	-1.908943e+02	8.578698e-02	3.880271e-01	2.920389e-01	1.093892e-01	1.098908e-01
13	-1.908942e+02	8.578610e-02	3.880267e-01	2.920395e-01	1.093891e-01	1.098919e-01
14	-1.908942e+02	8.578574e-02	3.880265e-01	2.920397e-01	1.093891e-01	1.098923e-01
15	-1.908942e+02	8.578560e-02	3.880264e-01	2.920398e-01	1.093891e-01	1.098924e-01
16	-1.908942e+02	8.578554e-02	3.880264e-01	2.920399e-01	1.093891e-01	1.098925e-01
17	-1.908942e+02	8.578552e-02	3.880264e-01	2.920399e-01	1.093891e-01	1.098925e-01
18	-1.908942e+02	8.578551e-02	3.880264e-01	2.920399e-01	1.093891e-01	1.098925e-01
19	-1.908942e+02	8.578551e-02	3.880264e-01	2.920399e-01	1.093891e-01	1.098925e-01
20	-1.908942e+02	8.578551e-02	3.880264e-01	2.920399e-01	1.093891e-01	1.098926e-01
