RTO_iter	profit_unmodified	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	profit_eps	Fb_profit_lam	Tr_profit_lam
0								2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00
1	-1.792546e+02	-1.792546e+02	1.456398e-01	3.793878e-01	2.781069e-01	1.101474e-01	8.671814e-02	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	2.815518e+01	3.955017e+01	-6.485503e+00
2	-1.505418e+02	-1.813691e+02	1.068454e-01	3.405538e-01	3.050151e-01	1.049685e-01	1.426172e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.439558e+01	2.562932e+01	-6.839059e+00
3	-1.508389e+02	-1.891504e+02	8.323195e-02	3.697021e-01	3.020917e-01	1.040817e-01	1.408926e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.932466e+01	2.871216e+01	-7.620267e+00
4	-1.391954e+02	-1.907785e+02	7.903785e-02	3.629719e-01	3.051653e-01	1.024615e-01	1.503635e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.156609e+01	2.618681e+01	-7.472967e+00
5	-1.416614e+02	-1.908579e+02	7.753197e-02	3.684063e-01	3.037984e-01	1.027171e-01	1.475462e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-4.923795e+01	2.709241e+01	-7.596583e+00
6	-1.396367e+02	-1.909199e+02	7.733864e-02	3.664287e-01	3.044583e-01	1.024566e-01	1.493178e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.127316e+01	2.658975e+01	-7.549987e+00
7	-1.404096e+02	-1.909143e+02	7.722239e-02	3.675191e-01	3.041428e-01	1.025493e-01	1.485664e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.051135e+01	2.681316e+01	-7.575228e+00
8	-1.399927e+02	-1.909219e+02	7.722764e-02	3.670328e-01	3.042936e-01	1.024972e-01	1.489487e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.092662e+01	2.670234e+01	-7.563857e+00
9	-1.401809e+02	-1.909195e+02	7.721331e-02	3.672736e-01	3.042215e-01	1.025203e-01	1.487713e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.073999e+01	2.675439e+01	-7.569460e+00
10	-1.400883e+02	-1.909210e+02	7.721735e-02	3.671604e-01	3.042560e-01	1.025088e-01	1.488574e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.083208e+01	2.672927e+01	-7.566820e+00
11	-1.401319e+02	-1.909203e+02	7.721475e-02	3.672150e-01	3.042395e-01	1.025142e-01	1.488166e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.078871e+01	2.674123e+01	-7.568092e+00
12	-1.401109e+02	-1.909207e+02	7.721584e-02	3.671890e-01	3.042474e-01	1.025116e-01	1.488362e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.080961e+01	2.673550e+01	-7.567486e+00
13	-1.401209e+02	-1.909205e+02	7.721528e-02	3.672014e-01	3.042436e-01	1.025129e-01	1.488268e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.079966e+01	2.673824e+01	-7.567776e+00
14	-1.401161e+02	-1.909206e+02	7.721554e-02	3.671955e-01	3.042454e-01	1.025123e-01	1.488313e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.080443e+01	2.673693e+01	-7.567637e+00
15	-1.401184e+02	-1.909206e+02	7.721541e-02	3.671983e-01	3.042445e-01	1.025126e-01	1.488292e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.080215e+01	2.673755e+01	-7.567704e+00
16	-1.401173e+02	-1.909206e+02	7.721547e-02	3.671970e-01	3.042450e-01	1.025124e-01	1.488302e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.080324e+01	2.673725e+01	-7.567672e+00
17	-1.401178e+02	-1.909206e+02	7.721545e-02	3.671976e-01	3.042448e-01	1.025125e-01	1.488297e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.080272e+01	2.673740e+01	-7.567687e+00
18	-1.401176e+02	-1.909206e+02	7.721546e-02	3.671973e-01	3.042449e-01	1.025125e-01	1.488299e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.080297e+01	2.673733e+01	-7.567680e+00
19	-1.401177e+02	-1.909206e+02	7.721545e-02	3.671975e-01	3.042448e-01	1.025125e-01	1.488298e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.080285e+01	2.673736e+01	-7.567683e+00
20	-1.401177e+02	-1.909206e+02	7.721546e-02	3.671974e-01	3.042448e-01	1.025125e-01	1.488299e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-5.080290e+01	2.673734e+01	-7.567682e+00
