RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.849374e+02	1.137621e-01	3.534858e-01	2.929845e-01	1.102929e-01	1.085980e-01
3	-1.901635e+02	9.506294e-02	3.889242e-01	2.873095e-01	1.097097e-01	1.018351e-01
4	-1.907615e+02	9.129835e-02	3.817524e-01	2.921252e-01	1.097100e-01	1.090579e-01
5	-1.908993e+02	9.017959e-02	3.879214e-01	2.900634e-01	1.095938e-01	1.063138e-01
6	-1.909098e+02	8.995526e-02	3.857304e-01	2.910881e-01	1.096142e-01	1.077896e-01
7	-1.909209e+02	8.988870e-02	3.869538e-01	2.906061e-01	1.095961e-01	1.071208e-01
8	-1.909193e+02	8.987862e-02	3.864114e-01	2.908384e-01	1.096027e-01	1.074494e-01
9	-1.909209e+02	8.987360e-02	3.866808e-01	2.907277e-01	1.095991e-01	1.072943e-01
10	-1.909203e+02	8.987366e-02	3.865543e-01	2.907807e-01	1.096007e-01	1.073690e-01
11	-1.909207e+02	8.987308e-02	3.866153e-01	2.907554e-01	1.095999e-01	1.073334e-01
12	-1.909205e+02	8.987322e-02	3.865863e-01	2.907675e-01	1.096003e-01	1.073504e-01
13	-1.909206e+02	8.987312e-02	3.866002e-01	2.907617e-01	1.096001e-01	1.073423e-01
14	-1.909206e+02	8.987316e-02	3.865936e-01	2.907645e-01	1.096002e-01	1.073462e-01
15	-1.909206e+02	8.987314e-02	3.865967e-01	2.907632e-01	1.096001e-01	1.073443e-01
16	-1.909206e+02	8.987315e-02	3.865952e-01	2.907638e-01	1.096002e-01	1.073452e-01
17	-1.909206e+02	8.987315e-02	3.865960e-01	2.907635e-01	1.096002e-01	1.073448e-01
18	-1.909206e+02	8.987315e-02	3.865956e-01	2.907636e-01	1.096002e-01	1.073450e-01
19	-1.909206e+02	8.987315e-02	3.865958e-01	2.907636e-01	1.096002e-01	1.073449e-01
20	-1.909206e+02	8.987315e-02	3.865957e-01	2.907636e-01	1.096002e-01	1.073449e-01
