RTO_iter	profit	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-1.510994e+02	1.470612e-01	3.912356e-01	2.572541e-01	1.063945e-01	6.669748e-02
2	-1.742202e+02	1.034999e-01	4.265144e-01	2.659411e-01	1.075861e-01	7.615342e-02
3	-1.840283e+02	9.596845e-02	4.160048e-01	2.748853e-01	1.086192e-01	8.647033e-02
4	-1.851706e+02	9.397373e-02	4.155596e-01	2.761197e-01	1.086796e-01	8.814067e-02
5	-1.855093e+02	9.350829e-02	4.151769e-01	2.765315e-01	1.087061e-01	8.867899e-02
6	-1.855819e+02	9.339172e-02	4.151136e-01	2.766197e-01	1.087108e-01	8.879729e-02
7	-1.856007e+02	9.336336e-02	4.150944e-01	2.766429e-01	1.087121e-01	8.882805e-02
8	-1.856052e+02	9.335636e-02	4.150901e-01	2.766484e-01	1.087124e-01	8.883542e-02
9	-1.856063e+02	9.335464e-02	4.150890e-01	2.766498e-01	1.087125e-01	8.883726e-02
10	-1.856066e+02	9.335422e-02	4.150888e-01	2.766501e-01	1.087125e-01	8.883771e-02
11	-1.856067e+02	9.335411e-02	4.150887e-01	2.766502e-01	1.087125e-01	8.883782e-02
12	-1.856067e+02	9.335409e-02	4.150887e-01	2.766502e-01	1.087125e-01	8.883784e-02
13	-1.856067e+02	9.335408e-02	4.150887e-01	2.766502e-01	1.087125e-01	8.883785e-02
14	-1.856067e+02	9.335408e-02	4.150887e-01	2.766502e-01	1.087125e-01	8.883785e-02
15	-1.856067e+02	9.335408e-02	4.150887e-01	2.766502e-01	1.087125e-01	8.883785e-02
16	-1.856067e+02	9.335408e-02	4.150887e-01	2.766502e-01	1.087125e-01	8.883785e-02
17	-1.856067e+02	9.335408e-02	4.150887e-01	2.766502e-01	1.087125e-01	8.883785e-02
18	-1.856067e+02	9.335408e-02	4.150887e-01	2.766502e-01	1.087125e-01	8.883785e-02
19	-1.856067e+02	9.335408e-02	4.150887e-01	2.766502e-01	1.087125e-01	8.883785e-02
20	-1.856067e+02	9.335408e-02	4.150887e-01	2.766502e-01	1.087125e-01	8.883785e-02
