rto_iter	test_point_no	variable_name	noise
0	0	profit	9.260000e-01
0	0	XFr_A	-1.494000e-04
0	0	XFr_B	-1.482000e-04
0	0	XFr_E	4.000000e-04
0	0	XFr_P	1.134000e-04
0	0	XFr_G	4.000000e-04
0	1	profit	1.240000e-01
0	1	XFr_A	-1.804000e-05
0	1	XFr_B	2.020000e-04
0	1	XFr_E	2.420000e-04
0	1	XFr_P	-4.760000e-05
0	1	XFr_G	1.012000e-04
0	2	profit	4.120000e-01
0	2	XFr_A	2.100000e-04
0	2	XFr_B	-9.400000e-05
0	2	XFr_E	-2.900000e-05
0	2	XFr_P	7.620000e-05
0	2	XFr_G	-1.462000e-04
0	3	profit	-2.400000e+00
0	3	XFr_A	3.380000e-04
0	3	XFr_B	-3.560000e-04
0	3	XFr_E	2.420000e-04
0	3	XFr_P	2.180000e-04
0	3	XFr_G	3.220000e-04
0	4	profit	-3.380000e-02
0	4	XFr_A	-1.498000e-04
0	4	XFr_B	4.000000e-04
0	4	XFr_E	-3.300000e-04
0	4	XFr_P	2.240000e-05
0	4	XFr_G	-7.240000e-05
0	5	profit	-6.220000e-01
0	5	XFr_A	3.680000e-05
0	5	XFr_B	-1.584000e-04
0	5	XFr_E	-3.040000e-04
0	5	XFr_P	1.602000e-04
0	5	XFr_G	1.772000e-04
1	0	profit	5.220000e-01
1	0	XFr_A	5.700000e-05
1	0	XFr_B	9.620000e-05
1	0	XFr_E	-4.020000e-04
1	0	XFr_P	1.178000e-04
1	0	XFr_G	1.434000e-04
1	1	profit	-1.766000e+00
1	1	XFr_A	5.920000e-05
1	1	XFr_B	1.072000e-04
1	1	XFr_E	-1.204000e-04
1	1	XFr_P	9.340000e-05
1	1	XFr_G	1.676000e-04
1	2	profit	5.300000e-02
1	2	XFr_A	-3.220000e-05
1	2	XFr_B	1.324000e-04
1	2	XFr_E	-7.460000e-05
1	2	XFr_P	-3.640000e-06
1	2	XFr_G	-1.374000e-04
1	3	profit	1.668000e+00
1	3	XFr_A	-5.700000e-04
1	3	XFr_B	9.920000e-05
1	3	XFr_E	2.860000e-04
1	3	XFr_P	-1.216000e-04
1	3	XFr_G	2.220000e-04
1	4	profit	-1.154000e+00
1	4	XFr_A	3.300000e-06
1	4	XFr_B	1.302000e-04
1	4	XFr_E	-1.228000e-04
1	4	XFr_P	-1.662000e-04
1	4	XFr_G	2.180000e-04
1	5	profit	9.980000e-01
1	5	XFr_A	6.060000e-06
1	5	XFr_B	2.080000e-04
1	5	XFr_E	-5.220000e-05
1	5	XFr_P	1.072000e-04
1	5	XFr_G	-1.362000e-04
2	0	profit	-6.360000e-01
2	0	XFr_A	-1.682000e-04
2	0	XFr_B	1.214000e-04
2	0	XFr_E	1.746000e-04
2	0	XFr_P	1.796000e-04
2	0	XFr_G	3.280000e-05
2	1	profit	-7.660000e-03
2	1	XFr_A	-1.672000e-05
2	1	XFr_B	1.960000e-04
2	1	XFr_E	4.440000e-04
2	1	XFr_P	8.760000e-05
2	1	XFr_G	-6.640000e-05
2	2	profit	1.334000e+00
2	2	XFr_A	-9.460000e-05
2	2	XFr_B	7.280000e-06
2	2	XFr_E	-2.740000e-05
2	2	XFr_P	-1.260000e-05
2	2	XFr_G	-2.940000e-04
2	3	profit	-1.050000e+00
2	3	XFr_A	1.006000e-04
2	3	XFr_B	-2.620000e-04
2	3	XFr_E	-3.820000e-04
2	3	XFr_P	7.200000e-05
2	3	XFr_G	-4.660000e-05
2	4	profit	1.678000e+00
2	4	XFr_A	-2.080000e-04
2	4	XFr_B	2.040000e-04
2	4	XFr_E	-8.040000e-05
2	4	XFr_P	-1.022000e-04
2	4	XFr_G	-1.554000e-05
2	5	profit	-1.974000e-01
2	5	XFr_A	-3.300000e-04
2	5	XFr_B	-6.560000e-05
2	5	XFr_E	-8.020000e-05
2	5	XFr_P	-1.198000e-05
2	5	XFr_G	-1.674000e-04
3	0	profit	-1.354000e+00
3	0	XFr_A	2.040000e-04
3	0	XFr_B	1.068000e-04
3	0	XFr_E	-3.760000e-05
3	0	XFr_P	1.432000e-05
3	0	XFr_G	3.920000e-04
3	1	profit	-9.540000e-01
3	1	XFr_A	7.560000e-05
3	1	XFr_B	3.040000e-04
3	1	XFr_E	2.140000e-04
3	1	XFr_P	5.740000e-05
3	1	XFr_G	-1.466000e-04
3	2	profit	-1.364000e+00
3	2	XFr_A	1.052000e-04
3	2	XFr_B	-2.120000e-04
3	2	XFr_E	1.080000e-04
3	2	XFr_P	-1.316000e-04
3	2	XFr_G	-1.964000e-04
3	3	profit	4.220000e-01
3	3	XFr_A	-2.320000e-04
3	3	XFr_B	1.304000e-04
3	3	XFr_E	-1.058000e-04
3	3	XFr_P	-3.360000e-04
3	3	XFr_G	-2.580000e-04
3	4	profit	1.362000e-01
3	4	XFr_A	5.460000e-04
3	4	XFr_B	5.140000e-05
3	4	XFr_E	-2.040000e-04
3	4	XFr_P	-1.290000e-04
3	4	XFr_G	-3.540000e-04
3	5	profit	-5.220000e-01
3	5	XFr_A	1.084000e-04
3	5	XFr_B	9.840000e-06
3	5	XFr_E	3.140000e-04
3	5	XFr_P	2.820000e-05
3	5	XFr_G	-1.688000e-04
4	0	profit	2.020000e+00
4	0	XFr_A	1.926000e-04
4	0	XFr_B	2.160000e-04
4	0	XFr_E	-1.278000e-04
4	0	XFr_P	-2.640000e-04
4	0	XFr_G	-3.780000e-05
4	1	profit	-2.700000e-01
4	1	XFr_A	-1.756000e-05
4	1	XFr_B	-2.200000e-04
4	1	XFr_E	2.940000e-04
4	1	XFr_P	-1.952000e-04
4	1	XFr_G	1.498000e-04
4	2	profit	-1.292000e-02
4	2	XFr_A	-3.640000e-04
4	2	XFr_B	1.038000e-04
4	2	XFr_E	-2.640000e-04
4	2	XFr_P	1.764000e-04
4	2	XFr_G	-2.560000e-05
4	3	profit	-1.010000e+00
4	3	XFr_A	-2.240000e-04
4	3	XFr_B	-9.380000e-05
4	3	XFr_E	2.600000e-05
4	3	XFr_P	2.340000e-05
4	3	XFr_G	7.280000e-05
4	4	profit	8.460000e-01
4	4	XFr_A	2.400000e-05
4	4	XFr_B	-2.240000e-05
4	4	XFr_E	-1.262000e-04
4	4	XFr_P	1.650000e-04
4	4	XFr_G	-1.418000e-04
4	5	profit	-1.892000e+00
4	5	XFr_A	-5.400000e-06
4	5	XFr_B	-3.820000e-04
4	5	XFr_E	3.080000e-06
4	5	XFr_P	-4.460000e-04
4	5	XFr_G	-2.080000e-04
5	0	profit	-7.360000e-02
5	0	XFr_A	-1.340000e-04
5	0	XFr_B	-3.940000e-05
5	0	XFr_E	-7.180000e-05
5	0	XFr_P	-1.084000e-04
5	0	XFr_G	-5.760000e-05
5	1	profit	2.120000e+00
5	1	XFr_A	-1.972000e-04
5	1	XFr_B	-5.720000e-05
5	1	XFr_E	-1.398000e-04
5	1	XFr_P	-1.134000e-04
5	1	XFr_G	-3.080000e-04
5	2	profit	8.440000e-01
5	2	XFr_A	-6.320000e-06
5	2	XFr_B	-9.420000e-05
5	2	XFr_E	-8.460000e-05
5	2	XFr_P	-4.700000e-04
5	2	XFr_G	1.154000e-04
5	3	profit	-6.340000e-01
5	3	XFr_A	4.720000e-04
5	3	XFr_B	-6.140000e-06
5	3	XFr_E	-8.800000e-05
5	3	XFr_P	-7.040000e-05
5	3	XFr_G	1.146000e-05
5	4	profit	2.800000e-01
5	4	XFr_A	7.180000e-05
5	4	XFr_B	3.220000e-04
5	4	XFr_E	-7.360000e-05
5	4	XFr_P	-1.336000e-04
5	4	XFr_G	1.104000e-04
5	5	profit	2.180000e-01
5	5	XFr_A	5.480000e-05
5	5	XFr_B	-5.720000e-05
5	5	XFr_E	-9.880000e-05
5	5	XFr_P	-2.000000e-04
5	5	XFr_G	-5.500000e-07
6	0	profit	-1.198000e+00
6	0	XFr_A	-2.220000e-05
6	0	XFr_B	2.540000e-04
6	0	XFr_E	2.920000e-04
6	0	XFr_P	3.740000e-04
6	0	XFr_G	-7.740000e-05
6	1	profit	-1.182000e+00
6	1	XFr_A	6.400000e-05
6	1	XFr_B	1.434000e-04
6	1	XFr_E	-1.684000e-04
6	1	XFr_P	-2.640000e-04
6	1	XFr_G	5.440000e-05
6	2	profit	1.744000e-01
6	2	XFr_A	2.500000e-05
6	2	XFr_B	-5.000000e-05
6	2	XFr_E	-1.926000e-04
6	2	XFr_P	-3.060000e-04
6	2	XFr_G	-1.518000e-04
6	3	profit	1.338000e-01
6	3	XFr_A	-3.080000e-05
6	3	XFr_B	4.260000e-05
6	3	XFr_E	-2.500000e-04
6	3	XFr_P	2.680000e-04
6	3	XFr_G	5.480000e-05
6	4	profit	-1.166000e-01
6	4	XFr_A	2.280000e-04
6	4	XFr_B	1.092000e-04
